dataset,split_type,split_num,model,SP,metric
bace,spectra_tanimoto,0.00_0,LogReg,0.00,0.905489417989418
bace,spectra_tanimoto,0.00_0,RF,0.00,0.909567901234568
bace,spectra_tanimoto,0.00_0,XGB,0.00,0.903439153439153
bace,spectra_tanimoto,0.00_0,SVM,0.00,0.902888007054674
bace,spectra_tanimoto,0.00_1,LogReg,0.00,0.875413907284768
bace,spectra_tanimoto,0.00_1,RF,0.00,0.910508888114326
bace,spectra_tanimoto,0.00_1,XGB,0.00,0.877962704775183
bace,spectra_tanimoto,0.00_1,SVM,0.00,0.900270128964796
bace,spectra_tanimoto,0.00_2,LogReg,0.00,0.869896147701047
bace,spectra_tanimoto,0.00_2,RF,0.00,0.884475412746316
bace,spectra_tanimoto,0.00_2,XGB,0.00,0.880969288123558
bace,spectra_tanimoto,0.00_2,SVM,0.00,0.883521214273034
bace,spectra_tanimoto,0.05_0,LogReg,0.05,0.86448087431694
bace,spectra_tanimoto,0.05_0,RF,0.05,0.862112932604736
bace,spectra_tanimoto,0.05_0,XGB,0.05,0.842258652094718
bace,spectra_tanimoto,0.05_0,SVM,0.05,0.827140255009107
bace,spectra_tanimoto,0.05_1,LogReg,0.05,0.88656504785537
bace,spectra_tanimoto,0.05_1,RF,0.05,0.897554058844381
bace,spectra_tanimoto,0.05_1,XGB,0.05,0.860953562566466
bace,spectra_tanimoto,0.05_1,SVM,0.05,0.899326479971641
bace,spectra_tanimoto,0.05_2,LogReg,0.05,0.883376288659794
bace,spectra_tanimoto,0.05_2,RF,0.05,0.874171575846834
bace,spectra_tanimoto,0.05_2,XGB,0.05,0.863770250368188
bace,spectra_tanimoto,0.05_2,SVM,0.05,0.877761413843888
bace,spectra_tanimoto,0.10_0,LogReg,0.10,0.857758620689655
bace,spectra_tanimoto,0.10_0,RF,0.10,0.879002463054187
bace,spectra_tanimoto,0.10_0,XGB,0.10,0.869458128078818
bace,spectra_tanimoto,0.10_0,SVM,0.10,0.853448275862069
bace,spectra_tanimoto,0.10_1,LogReg,0.10,0.884098544232923
bace,spectra_tanimoto,0.10_1,RF,0.10,0.957446808510638
bace,spectra_tanimoto,0.10_1,XGB,0.10,0.905375139977604
bace,spectra_tanimoto,0.10_1,SVM,0.10,0.929451287793953
bace,spectra_tanimoto,0.10_2,LogReg,0.10,0.904380341880342
bace,spectra_tanimoto,0.10_2,RF,0.10,0.922275641025641
bace,spectra_tanimoto,0.10_2,XGB,0.10,0.919337606837607
bace,spectra_tanimoto,0.10_2,SVM,0.10,0.927884615384615
bace,spectra_tanimoto,0.15_0,LogReg,0.15,0.732804232804233
bace,spectra_tanimoto,0.15_0,RF,0.15,0.782407407407407
bace,spectra_tanimoto,0.15_0,XGB,0.15,0.731481481481481
bace,spectra_tanimoto,0.15_0,SVM,0.15,0.801587301587302
bace,spectra_tanimoto,0.15_1,LogReg,0.15,0.833333333333333
bace,spectra_tanimoto,0.15_1,RF,0.15,0.873144399460189
bace,spectra_tanimoto,0.15_1,XGB,0.15,0.860998650472335
bace,spectra_tanimoto,0.15_1,SVM,0.15,0.912280701754386
bace,spectra_tanimoto,0.15_2,LogReg,0.15,0.853174603174603
bace,spectra_tanimoto,0.15_2,RF,0.15,0.900793650793651
bace,spectra_tanimoto,0.15_2,XGB,0.15,0.837301587301587
bace,spectra_tanimoto,0.15_2,SVM,0.15,0.887566137566138
bace,spectra_tanimoto,0.20_0,LogReg,0.20,0.843137254901961
bace,spectra_tanimoto,0.20_0,RF,0.20,0.900560224089636
bace,spectra_tanimoto,0.20_0,XGB,0.20,0.822128851540616
bace,spectra_tanimoto,0.20_0,SVM,0.20,0.890756302521008
bace,spectra_tanimoto,0.20_1,LogReg,0.20,0.79153605015674
bace,spectra_tanimoto,0.20_1,RF,0.20,0.780564263322884
bace,spectra_tanimoto,0.20_1,XGB,0.20,0.699059561128527
bace,spectra_tanimoto,0.20_1,SVM,0.20,0.789968652037617
bace,spectra_tanimoto,0.20_2,LogReg,0.20,0.820728291316527
bace,spectra_tanimoto,0.20_2,RF,0.20,0.915966386554622
bace,spectra_tanimoto,0.20_2,XGB,0.20,0.850140056022409
bace,spectra_tanimoto,0.20_2,SVM,0.20,0.910364145658263
bace,spectra_tanimoto,0.25_0,LogReg,0.25,0.852564102564103
bace,spectra_tanimoto,0.25_0,RF,0.25,0.907051282051282
bace,spectra_tanimoto,0.25_0,XGB,0.25,0.842948717948718
bace,spectra_tanimoto,0.25_0,SVM,0.25,0.858974358974359
bace,spectra_tanimoto,0.25_1,LogReg,0.25,0.742857142857143
bace,spectra_tanimoto,0.25_1,RF,0.25,0.696428571428571
bace,spectra_tanimoto,0.25_1,XGB,0.25,0.660714285714286
bace,spectra_tanimoto,0.25_1,SVM,0.25,0.721428571428571
bace,spectra_tanimoto,0.25_2,LogReg,0.25,0.948863636363636
bace,spectra_tanimoto,0.25_2,RF,0.25,0.943181818181818
bace,spectra_tanimoto,0.25_2,XGB,0.25,0.931818181818182
bace,spectra_tanimoto,0.25_2,SVM,0.25,0.960227272727273
bace,spectra_tanimoto,0.30_0,LogReg,0.30,0.760416666666667
bace,spectra_tanimoto,0.30_0,RF,0.30,0.807291666666667
bace,spectra_tanimoto,0.30_0,XGB,0.30,0.822916666666667
