index,train_size,val_size,test_size,SP,cso
bace_random_1,1059,151,303,NA,0.174446654984934
bace_random_2,1059,151,303,NA,0.175477814665087
bace_random_3,1059,151,303,NA,0.177787358785871
bace_random_4,1059,151,303,NA,0.175441255606885
bace_random_5,1059,151,303,NA,0.177278022915189
bace_scaffold_1,1064,151,298,NA,0.170885799187939
bace_scaffold_2,1061,151,301,NA,0.169459315702452
bace_scaffold_3,1068,152,293,NA,0.172152261096713
bace_scaffold_4,1064,152,297,NA,0.172874565921374
bace_scaffold_5,1064,152,297,NA,0.174315910707347
bace_umap_1,1074,153,286,NA,0.141019334104126
bace_umap_2,1056,150,307,NA,0.158545435614643
bace_umap_3,1050,150,313,NA,0.160975371238889
bace_umap_4,929,132,452,NA,0.151613602670616
bace_umap_5,946,135,432,NA,0.148322627435162
bace_spectra_tanimoto_0.00_0,1059,151,303,0,0.175585687151797
bace_spectra_tanimoto_0.00_1,1059,151,303,0,0.176086128265326
bace_spectra_tanimoto_0.00_2,1059,151,303,0,0.174732987197
bace_spectra_tanimoto_0.05_0,525,75,151,0.05,0.161008448891892
bace_spectra_tanimoto_0.05_1,536,76,153,0.05,0.162193039163611
bace_spectra_tanimoto_0.05_2,532,76,153,0.05,0.159225677443827
bace_spectra_tanimoto_0.10_0,301,43,86,0.1,0.152053977162613
bace_spectra_tanimoto_0.10_1,297,42,85,0.1,0.149436549117083
bace_spectra_tanimoto_0.10_2,307,43,88,0.1,0.148966384526781
bace_spectra_tanimoto_0.15_0,197,28,57,0.15,0.143729872012949
bace_spectra_tanimoto_0.15_1,203,28,58,0.15,0.144906913382477
bace_spectra_tanimoto_0.15_2,196,28,57,0.15,0.150194681564933
bace_spectra_tanimoto_0.20_0,133,18,38,0.2,0.143010267063122
bace_spectra_tanimoto_0.20_1,137,19,40,0.2,0.141590964557967
bace_spectra_tanimoto_0.20_2,133,19,38,0.2,0.142515402773105
bace_spectra_tanimoto_0.25_0,85,12,25,0.25,0.137835057143397
bace_spectra_tanimoto_0.25_1,82,11,24,0.25,0.137120803068778
bace_spectra_tanimoto_0.25_2,91,13,27,0.25,0.138462868331575
bace_spectra_tanimoto_0.30_0,70,9,20,0.3,0.135628693350479
bace_spectra_tanimoto_0.30_1,66,9,19,0.3,0.135562342507799
bace_spectra_tanimoto_0.30_2,56,8,17,0.3,0.13989940109902
bace_spectra_tanimoto_0.35_0,49,7,15,0.35,0.132649633386886
bace_spectra_tanimoto_0.35_1,48,6,14,0.35,0.131656223469784
bace_spectra_tanimoto_0.35_2,46,6,14,0.35,0.127437771188667
bace_spectra_tanimoto_0.40_0,33,4,10,0.4,0.13930093362019
bace_spectra_tanimoto_0.40_1,36,5,11,0.4,0.131597796466157
bace_spectra_tanimoto_0.40_2,37,5,11,0.4,0.133502796304184
bace_spectra_tanimoto_0.45_0,29,4,9,0.45,0.124572125864713
bace_spectra_tanimoto_0.45_1,31,4,9,0.45,0.131876464059559
bace_spectra_tanimoto_0.45_2,28,3,8,0.45,0.126119290521893
bace_spectra_tanimoto_0.50_0,26,3,8,0.5,0.113697495331575
bace_spectra_tanimoto_0.50_1,25,3,8,0.5,0.108834023039529
bace_spectra_tanimoto_0.50_2,25,3,8,0.5,0.128114613352236
bace_spectra_tanimoto_0.55_0,20,2,6,0.55,0.124380248938457
bace_spectra_tanimoto_0.55_1,18,2,5,0.55,0.122485739869138
bace_spectra_tanimoto_0.55_2,15,2,5,0.55,0.135050919121479
