,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bace_spectra_hamming_0.00_0,0.0,1210,303,0.0830466533869296,0.8062361478805542,0.7128027677536011,0.7260726094245911,0.7225213050842285
bace_spectra_hamming_0.00_1,0.0,1210,303,0.0835178954685241,0.8691368699073792,0.7957746386528015,0.8085808753967285,0.8343310356140137
bace_spectra_hamming_0.00_2,0.0,1210,303,0.0832136676025557,0.8712222576141357,0.7841726541519165,0.801980197429657,0.8049306869506836
bace_spectra_hamming_0.05_0,0.05,916,229,0.0787499862196325,0.9131313562393188,0.8292682766914368,0.847161591053009,0.8473478555679321
bace_spectra_hamming_0.05_1,0.05,888,222,0.0781544153687048,0.9303914308547974,0.8121212124824524,0.8603603839874268,0.851284384727478
bace_spectra_hamming_0.05_2,0.05,899,225,0.0783148811179087,0.9168043732643129,0.8333333134651184,0.8577777743339539,0.8711884021759033
bace_spectra_hamming_0.10_0,0.1,688,173,0.0753797307292016,0.921889066696167,0.7666666507720947,0.8381502628326416,0.8122678399085999
bace_spectra_hamming_0.10_1,0.1,722,181,0.0758760635909115,0.9502575397491456,0.8548387289047241,0.90055251121521,0.8613365888595581
bace_spectra_hamming_0.10_2,0.1,744,187,0.0756519794272181,0.963225781917572,0.8888888955116272,0.9251337051391602,0.9218753576278688
bace_spectra_hamming_0.15_0,0.15,637,160,0.0732441804846938,0.9785385727882384,0.9075630307197572,0.931249976158142,0.9590989351272584
bace_spectra_hamming_0.15_1,0.15,608,152,0.0745230170168044,0.9443405866622924,0.791208803653717,0.875,0.8756985664367676
bace_spectra_hamming_0.15_2,0.15,582,146,0.074446812258744,0.9624354839324952,0.8846153616905212,0.91780823469162,0.9280877709388732
bace_spectra_hamming_0.20_0,0.2,531,133,0.0707457949030415,0.9487179517745972,0.8500000238418579,0.9097744226455688,0.8480430841445923
bace_spectra_hamming_0.20_1,0.2,536,134,0.0707174612594675,0.9554193019866944,0.8354430198669434,0.9029850959777832,0.8499786853790283
