,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bbbp_spectra_hamming_0.00_0,0,1631,408,0.065697077,0.87929678,0.908527136,0.855392158,0.958042741
bbbp_spectra_hamming_0.00_1,0,1631,408,0.066044326,0.924388051,0.914927781,0.870098054,0.973947167
bbbp_spectra_hamming_0.00_2,0,1631,408,0.06626837,0.963162065,0.942716837,0.914215684,0.987067938
bbbp_spectra_hamming_0.05_0,0.05,1296,325,0.059070506,0.964230061,0.956521749,0.92923075,0.991108179
bbbp_spectra_hamming_0.05_1,0.05,1413,354,0.060634412,0.982379556,0.97063905,0.951977372,0.995830834
bbbp_spectra_hamming_0.05_2,0.05,1399,350,0.05923366,0.981693506,0.959435642,0.9342857,0.996077478
bbbp_spectra_hamming_0.10_0,0.1,1140,285,0.055936499,0.986418307,0.967462063,0.947368443,0.9969908
bbbp_spectra_hamming_0.10_1,0.1,1181,296,0.056040571,0.986163437,0.968814969,0.94932431,0.996689081
bbbp_spectra_hamming_0.10_2,0.1,1220,305,0.055918223,0.988849521,0.971193433,0.954098344,0.997099221
bbbp_spectra_hamming_0.15_0,0.15,1000,250,0.05281393,0.995833397,0.983293533,0.972000003,0.999196291
bbbp_spectra_hamming_0.15_1,0.15,988,248,0.053135141,0.980929255,0.983213425,0.97177422,0.995045364
bbbp_spectra_hamming_0.15_2,0.15,1042,261,0.053177362,0.993438959,0.979683995,0.965517223,0.998866558
bbbp_spectra_hamming_0.20_0,0.2,811,203,0.052716918,0.996839583,0.982352912,0.970443368,0.999327004
bbbp_spectra_hamming_0.20_1,0.2,1019,255,0.051655509,0.998668194,0.993197262,0.988235295,0.999780536
bbbp_spectra_hamming_0.20_2,0.2,931,233,0.050957157,0.995816469,0.98477155,0.974248946,0.999184072
bbbp_spectra_hamming_0.25_0,0.25,636,160,0.049047314,0.995851815,0.988847613,0.981249988,0.999265552
bbbp_spectra_hamming_0.25_1,0.25,581,146,0.048071072,0.997685969,0.979591846,0.965753436,0.999529302
bbbp_spectra_hamming_0.25_2,0.25,800,200,0.049529407,0.994915962,0.982857168,0.970000029,0.999255061
bbbp_spectra_hamming_0.30_0,0.3,811,203,0.048696719,0.999497712,0.994505465,0.990147769,0.999938965
bbbp_spectra_hamming_0.30_1,0.3,630,158,0.045724571,0.998586357,0.992307663,0.987341762,0.999718308
bbbp_spectra_hamming_0.30_2,0.3,579,145,0.046100089,0.993973851,0.979423881,0.965517223,0.998823047
bbbp_spectra_hamming_0.35_0,0.35,552,138,0.044154917,1,1,1,1
