,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
clintox_spectra_hamming_0.00_0,0,1182,296,0.069148062,0.969885826,0.909395993,0.908783793,0.97227037
clintox_spectra_hamming_0.00_1,0,1182,296,0.069700295,0.981291413,0.941373527,0.940878391,0.982155681
clintox_spectra_hamming_0.00_2,0,1182,296,0.069323561,0.988106251,0.945091486,0.944256783,0.989086747
clintox_spectra_hamming_0.05_0,0.05,1039,260,0.061554321,0.994747877,0.965779483,0.965384603,0.995082021
clintox_spectra_hamming_0.05_1,0.05,1051,263,0.062745468,0.993407309,0.960451961,0.960076034,0.993629515
clintox_spectra_hamming_0.05_2,0.05,1041,261,0.063250505,0.997166693,0.967619061,0.967432976,0.997207046
clintox_spectra_hamming_0.10_0,0.1,967,242,0.059187535,0.996268749,0.969199181,0.969008267,0.996493816
clintox_spectra_hamming_0.10_1,0.1,965,242,0.059505211,0.998053432,0.969325125,0.969008267,0.998082042
clintox_spectra_hamming_0.10_2,0.1,934,234,0.058775715,0.994645476,0.947589099,0.946581185,0.994969726
clintox_spectra_hamming_0.15_0,0.15,855,214,0.055376143,0.996495008,0.958333313,0.957943916,0.996584892
clintox_spectra_hamming_0.15_1,0.15,796,200,0.054187417,0.99927485,0.987654328,0.987500012,0.999301195
clintox_spectra_hamming_0.15_2,0.15,873,219,0.056061722,0.998603046,0.979683995,0.979452074,0.998623729
clintox_spectra_hamming_0.20_0,0.2,734,184,0.051878292,0.999379754,0.983783782,0.983695626,0.999391377
clintox_spectra_hamming_0.20_1,0.2,759,190,0.052576538,0.999612093,0.984536111,0.984210551,0.999627531
clintox_spectra_hamming_0.20_2,0.2,724,181,0.05137641,0.998717904,0.980821908,0.980663002,0.998759151
clintox_spectra_hamming_0.25_0,0.25,678,170,0.050437005,0.999342561,0.988304079,0.988235295,0.999348998
clintox_spectra_hamming_0.25_1,0.25,282,71,0.05103478,1,0.993007004,0.992957771,1
clintox_spectra_hamming_0.25_2,0.25,738,185,0.051408187,0.998889625,0.994623661,0.994594574,0.99889636
clintox_spectra_hamming_0.30_0,0.3,581,146,0.047848327,0.998498201,0.976430953,0.976027369,0.998584986
clintox_spectra_hamming_0.30_1,0.3,646,162,0.048211909,0.998856902,0.975460112,0.975308657,0.998888016
clintox_spectra_hamming_0.30_2,0.3,374,94,0.043656422,0.999660432,0.989473701,0.989361703,0.999670446
clintox_spectra_hamming_0.35_0,0.35,556,139,0.045839314,0.99999994,1,1,1
clintox_spectra_hamming_0.35_1,0.35,579,145,0.046348339,0.998906016,0.975944996,0.975862086,0.998936236
clintox_spectra_hamming_0.35_2,0.35,572,144,0.046417165,0.998119175,0.972602725,0.972222209,0.998191059
clintox_spectra_hamming_0.40_0,0.4,536,134,0.044912711,0.999554515,0.992592573,0.99253732,0.999563277
clintox_spectra_hamming_0.40_1,0.4,412,103,0.043972905,0.99820888,0.971153855,0.970873773,0.998259723
