,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_hamming_0.00_0,0.0,898,225,0.0347991340710838,0.9484245777130128,0.72281813621521,0.7709270715713501
delaney_spectra_hamming_0.00_1,0.0,898,225,0.0350292026262063,0.8495309948921204,0.6161395311355591,0.8454508185386658
delaney_spectra_hamming_0.00_2,0.0,898,225,0.0358276204064587,0.6892876625061035,0.5152438282966614,0.8871490955352783
delaney_spectra_hamming_0.05_0,0.05,782,196,0.0304161321457931,0.562913179397583,0.41455078125,0.9215274453163148
delaney_spectra_hamming_0.05_1,0.05,784,196,0.0300557598477847,0.5050066709518433,0.3765338063240051,0.9285085201263428
delaney_spectra_hamming_0.05_2,0.05,755,189,0.0301598456826623,0.5449002981185913,0.3872711360454559,0.9347082376480104
delaney_spectra_hamming_0.10_0,0.1,668,167,0.0271298632385304,0.4434653222560882,0.3344748914241791,0.9528467059135436
delaney_spectra_hamming_0.10_1,0.1,731,183,0.028358222160862,0.3915814459323883,0.2840225398540497,0.9604611396789552
delaney_spectra_hamming_0.10_2,0.1,701,176,0.0277233220247454,0.3834395110607147,0.2643321752548218,0.9738760590553284
delaney_spectra_hamming_0.15_0,0.15,572,144,0.0263542643608561,0.3462913036346435,0.2391731441020965,0.971976399421692
delaney_spectra_hamming_0.15_1,0.15,519,130,0.0251133026715577,0.3264057040214538,0.2276536673307418,0.9771255254745485
delaney_spectra_hamming_0.15_2,0.15,428,107,0.0244668825129378,0.3268430829048157,0.2160612195730209,0.9731552600860596
delaney_spectra_hamming_0.20_0,0.2,628,157,0.0251843499926467,0.3124105930328369,0.2188099175691604,0.9757802486419678
delaney_spectra_hamming_0.20_1,0.2,472,119,0.0253500276236024,0.3600035905838012,0.2513671815395355,0.9738927483558656
delaney_spectra_hamming_0.20_2,0.2,644,161,0.025355446371306,0.2890954613685608,0.1994030475616455,0.9803746342658995
delaney_spectra_hamming_0.25_0,0.25,496,124,0.0236709705872788,0.2718506157398224,0.188425675034523,0.9854310750961304
delaney_spectra_hamming_0.25_1,0.25,412,103,0.0219694114740432,0.2494164705276489,0.1632502824068069,0.9891405701637268
delaney_spectra_hamming_0.25_2,0.25,433,109,0.023388068726561,0.3011476695537567,0.1947942078113556,0.9801190495491028
delaney_spectra_hamming_0.30_0,0.3,485,122,0.0219718640411103,0.2464680075645446,0.1657494455575943,0.9822802543640136
delaney_spectra_hamming_0.30_1,0.3,517,130,0.023045669008518,0.2355967462062835,0.1620637774467468,0.98842054605484
delaney_spectra_hamming_0.30_2,0.3,404,101,0.023741832142682,0.2856211066246032,0.1925082951784134,0.9752890467643738
delaney_spectra_hamming_0.35_0,0.35,429,108,0.0211388937788677,0.2325668632984161,0.1594525426626205,0.9855916500091552
delaney_spectra_hamming_0.35_1,0.35,322,81,0.0206350030073422,0.2713412642478943,0.1896648854017257,0.9856099486351012
delaney_spectra_hamming_0.35_2,0.35,501,126,0.0225345594772756,0.2572661936283111,0.1646191775798797,0.9856780171394348
delaney_spectra_hamming_0.40_0,0.4,420,106,0.020952091405548,0.1936569958925247,0.1280419826507568,0.988142728805542
delaney_spectra_hamming_0.40_1,0.4,500,126,0.0215470610119047,0.2508698105812073,0.1593087911605835,0.9875364303588868
delaney_spectra_hamming_0.40_2,0.4,507,127,0.0218245922731367,0.2402014583349228,0.1471732407808303,0.9878600239753724
delaney_spectra_hamming_0.45_0,0.45,154,39,0.0192307692307692,0.2735368907451629,0.1852646917104721,0.986653208732605
delaney_spectra_hamming_0.45_1,0.45,372,94,0.0195366120452985,0.2271350771188736,0.1490032523870468,0.986967384815216
delaney_spectra_hamming_0.45_2,0.45,457,115,0.0207886380934259,0.2025298178195953,0.1234722286462783,0.9884568452835084
delaney_spectra_hamming_0.50_0,0.5,193,49,0.0184986154435867,0.2403564304113388,0.1318950802087783,0.984113335609436
delaney_spectra_hamming_0.50_1,0.5,294,74,0.018339678565683,0.1759880483150482,0.1191069781780242,0.9916313290596008
delaney_spectra_hamming_0.50_2,0.5,422,106,0.0199613287188142,0.1528129875659942,0.0905717015266418,0.994856297969818
delaney_spectra_hamming_0.55_0,0.55,197,50,0.0183472795050761,0.1806235760450363,0.1193843334913253,0.9933502674102784
delaney_spectra_hamming_0.55_1,0.55,236,59,0.0180544832663027,0.1617694348096847,0.0954650938510894,0.9945216178894044
delaney_spectra_hamming_0.55_2,0.55,104,26,0.0200924845136834,0.2549992501735687,0.1692302823066711,0.9862836599349976
delaney_spectra_hamming_0.60_0,0.6,31,8,0.024933845766129,0.1991558223962783,0.1678981781005859,0.9899796843528748
delaney_spectra_hamming_0.60_1,0.6,51,13,0.0235818486048265,0.7800660133361816,0.304278165102005,0.8349842429161072
delaney_spectra_hamming_0.60_2,0.6,88,22,0.0167377566503099,0.2783066034317016,0.1510924696922302,0.960260570049286
delaney_spectra_hamming_0.65_0,0.65,49,13,0.0190222723704866,0.3352115750312805,0.2219079881906509,0.9776949882507324
delaney_spectra_hamming_0.65_1,0.65,68,18,0.0166973039215686,0.2188804596662521,0.1631618589162826,0.989081859588623
delaney_spectra_hamming_0.65_2,0.65,292,73,0.0179361582115547,0.2180559486150741,0.1326936036348343,0.9916791319847108
delaney_spectra_hamming_0.70_0,0.7,18,5,0.0222873263888888,0.2652296721935272,0.2076417952775955,0.9688977003097534
delaney_spectra_hamming_0.70_1,0.7,196,49,0.0157004487062682,0.281283289194107,0.1851258128881454,0.9822626709938048
delaney_spectra_hamming_0.70_2,0.7,17,5,0.0238855698529411,0.2196728140115738,0.175393134355545,0.9797056913375854
