,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
freesolv_spectra_hamming_0.00_0,0.0,513,129,0.0235722150681127,1.8206827640533447,1.429690718650818,0.7809863686561584
freesolv_spectra_hamming_0.00_1,0.0,513,129,0.0238708342069374,1.1883817911148071,0.8498505353927612,0.8977339267730713
freesolv_spectra_hamming_0.00_2,0.0,513,129,0.0234523306105217,1.1495057344436646,0.7882478833198547,0.906967043876648
freesolv_spectra_hamming_0.05_0,0.05,440,111,0.0214574215550778,0.963340938091278,0.684650182723999,0.9354461431503296
freesolv_spectra_hamming_0.05_1,0.05,433,109,0.0218130753808504,0.961111307144165,0.6090227961540222,0.9352538585662842
freesolv_spectra_hamming_0.05_2,0.05,457,115,0.0212525308307963,0.9011836051940918,0.5568032264709473,0.944959044456482
freesolv_spectra_hamming_0.10_0,0.1,401,101,0.0196849643758796,0.5312278866767883,0.3929590284824371,0.9736816883087158
freesolv_spectra_hamming_0.10_1,0.1,402,101,0.0202021105795281,0.6530572175979614,0.4051128923892975,0.9653350710868835
freesolv_spectra_hamming_0.10_2,0.1,412,103,0.0203665151640116,0.5893183946609497,0.3891375362873077,0.9800329208374025
freesolv_spectra_hamming_0.15_0,0.15,351,88,0.0182885419701825,0.4441339373588562,0.2916860282421112,0.9811391830444336
freesolv_spectra_hamming_0.15_1,0.15,297,75,0.0184070303731762,0.367220014333725,0.2368768006563186,0.9832367300987244
freesolv_spectra_hamming_0.15_2,0.15,336,85,0.0181984952183998,0.3439940810203552,0.2287615984678268,0.9867884516716005
freesolv_spectra_hamming_0.20_0,0.2,290,73,0.018279109589041,0.2478858530521392,0.1772877275943756,0.9907469153404236
freesolv_spectra_hamming_0.20_1,0.2,292,73,0.0186486969881778,0.3060134351253509,0.1925120055675506,0.9941766262054444
freesolv_spectra_hamming_0.20_2,0.2,347,87,0.0180337506521415,0.2732098996639251,0.1558675467967987,0.9939098358154296
freesolv_spectra_hamming_0.25_0,0.25,290,73,0.017388670952409,0.2279519289731979,0.1706702560186386,0.9931004643440248
freesolv_spectra_hamming_0.25_1,0.25,191,48,0.0168141736202006,0.3488242924213409,0.2134489566087722,0.9940761923789978
freesolv_spectra_hamming_0.25_2,0.25,206,52,0.0160436309746079,0.3466331362724304,0.1521394997835159,0.9895614385604858
freesolv_spectra_hamming_0.30_0,0.3,279,70,0.0163273449500768,0.212541177868843,0.14662466943264,0.9944177865982056
freesolv_spectra_hamming_0.30_1,0.3,250,63,0.0166370907738095,0.2600694000720978,0.1584965288639068,0.993302047252655
freesolv_spectra_hamming_0.30_2,0.3,228,58,0.0156270677366908,0.2087723463773727,0.1369522958993911,0.9958867430686952
freesolv_spectra_hamming_0.35_0,0.35,161,41,0.0138400845989244,0.361444354057312,0.159551203250885,0.984474778175354
freesolv_spectra_hamming_0.35_1,0.35,225,57,0.0150691398635477,0.1758452653884887,0.1104191467165947,0.9956706166267396
freesolv_spectra_hamming_0.35_2,0.35,204,51,0.0143482599841407,0.2739288806915283,0.1496122032403946,0.9927769899368286
freesolv_spectra_hamming_0.40_0,0.4,156,39,0.0129978799412393,0.1507489830255508,0.1087872311472892,0.9970486760139464
freesolv_spectra_hamming_0.40_1,0.4,144,36,0.0129247594762731,0.2195625901222229,0.1346485912799835,0.9945128560066224
freesolv_spectra_hamming_0.40_2,0.4,181,46,0.0137160935998678,0.2112737447023391,0.1232609152793884,0.995169997215271
