,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
lipo_spectra_hamming_0.00_0,0.0,3360,840,0.0721766776779071,0.7051471471786499,0.5461252927780151,0.6638121604919434
lipo_spectra_hamming_0.00_1,0.0,3360,840,0.0720970392551551,0.6134779453277588,0.4675385355949402,0.7298261523246765
lipo_spectra_hamming_0.00_2,0.0,3360,840,0.0724287134287308,0.5559002757072449,0.4171554446220398,0.8002321720123291
lipo_spectra_hamming_0.05_0,0.05,2435,609,0.065199035635682,0.5152869820594788,0.3911056518554687,0.8203667402267456
lipo_spectra_hamming_0.05_1,0.05,2514,629,0.0648606951755779,0.4397683143615722,0.3427210748195648,0.8769429922103882
lipo_spectra_hamming_0.05_2,0.05,2469,618,0.0650811862708425,0.4031168222427368,0.3144645690917969,0.893282413482666
lipo_spectra_hamming_0.10_0,0.1,2063,516,0.0617698403936959,0.4083724915981293,0.2991748750209808,0.8946212530136108
lipo_spectra_hamming_0.10_1,0.1,2116,529,0.0623320649326313,0.3663926422595978,0.263742446899414,0.916185736656189
lipo_spectra_hamming_0.10_2,0.1,2059,515,0.062326566530081,0.3474209606647491,0.2469412535429,0.9213404059410096
lipo_spectra_hamming_0.15_0,0.15,1912,478,0.0600493446067339,0.3030303716659546,0.2284227907657623,0.9465121626853944
lipo_spectra_hamming_0.15_1,0.15,1806,452,0.060519702006555,0.2818194031715393,0.2059061974287033,0.949555277824402
lipo_spectra_hamming_0.15_2,0.15,1748,438,0.0593670724386252,0.2961204349994659,0.2128145396709442,0.9456753730773926
lipo_spectra_hamming_0.20_0,0.2,1375,344,0.0565559551730972,0.2683076560497284,0.1905304044485092,0.9595364332199096
lipo_spectra_hamming_0.20_1,0.2,1520,381,0.0568535558260809,0.2073622196912765,0.1531843245029449,0.9747336506843568
lipo_spectra_hamming_0.20_2,0.2,1532,383,0.0571677253566644,0.2102973163127899,0.1573927551507949,0.9733413457870485
lipo_spectra_hamming_0.25_0,0.25,1237,310,0.0544763320794325,0.1763425469398498,0.134279727935791,0.9809519052505492
lipo_spectra_hamming_0.25_1,0.25,1543,386,0.0571094224837894,0.220421016216278,0.1576478034257888,0.9720467925071716
lipo_spectra_hamming_0.25_2,0.25,1451,363,0.0559936307670163,0.1666860282421112,0.1210754886269569,0.982723593711853
lipo_spectra_hamming_0.30_0,0.3,1268,317,0.0545880449290469,0.1708621382713318,0.115086555480957,0.982836902141571
lipo_spectra_hamming_0.30_1,0.3,962,241,0.0518542758578579,0.1863988041877746,0.1358344852924347,0.9755186438560486
lipo_spectra_hamming_0.30_2,0.3,1446,362,0.0554352852553815,0.1936320215463638,0.1322148740291595,0.9772320985794068
lipo_spectra_hamming_0.35_0,0.35,1062,266,0.0535852356549035,0.178378015756607,0.1221047416329383,0.9819130897521972
lipo_spectra_hamming_0.35_1,0.35,1196,300,0.0536260843436454,0.156754195690155,0.1065400913357734,0.9851648211479188
lipo_spectra_hamming_0.35_2,0.35,1034,259,0.0519591920959108,0.1380600929260254,0.094965673983097,0.9884791374206544
lipo_spectra_hamming_0.40_0,0.4,964,241,0.0515454037249703,0.1323365420103073,0.100143514573574,0.9885156154632568
lipo_spectra_hamming_0.40_0,0.4,964,241,0.0515454037249703,0.9866433143615724,0.7860546708106995,0.361637532711029
lipo_spectra_hamming_0.40_1,0.4,982,246,0.0510265265764451,0.860778272151947,0.679130494594574,0.5641669034957886
lipo_spectra_hamming_0.40_2,0.4,730,183,0.049986512779306,0.7452617883682251,0.5715323090553284,0.6609379053115845
lipo_spectra_hamming_0.45_0,0.45,1044,262,0.0516258347522922,0.6825745105743408,0.4779554903507232,0.7289608716964722
lipo_spectra_hamming_0.45_1,0.45,1165,292,0.05265658415214,0.5999985933303833,0.4683078527450561,0.7778891324996948
lipo_spectra_hamming_0.45_2,0.45,986,247,0.051563235403185,0.6338253021240234,0.4811062812805176,0.778836190700531
lipo_spectra_hamming_0.50_0,0.5,952,238,0.0502564019633588,0.5923678874969482,0.4216036200523376,0.7961604595184326
lipo_spectra_hamming_0.50_1,0.5,736,185,0.0500881961593896,0.5217118859291077,0.409826397895813,0.8537977933883667
lipo_spectra_hamming_0.50_2,0.5,1016,255,0.0507109705194824,0.5956130623817444,0.4275492429733276,0.8231468796730042
lipo_spectra_hamming_0.55_0,0.55,580,145,0.0465200468192627,0.501145601272583,0.387265145778656,0.8521331548690796
lipo_spectra_hamming_0.55_1,0.55,779,195,0.0479803886475099,0.4914043247699737,0.3407447934150696,0.8249515295028687
lipo_spectra_hamming_0.55_2,0.55,777,195,0.0477417536011286,0.575596034526825,0.3819674253463745,0.808823823928833
lipo_spectra_hamming_0.60_0,0.6,536,134,0.0462609229679494,0.4103829264640808,0.329969584941864,0.9060102105140686
lipo_spectra_hamming_0.60_1,0.6,884,221,0.0484178331857455,0.4050412476062774,0.3051722347736358,0.9043658375740052
lipo_spectra_hamming_0.60_2,0.6,765,192,0.0479264535675381,0.375945121049881,0.2920289933681488,0.9188823103904724
lipo_spectra_hamming_0.65_0,0.65,542,136,0.0459148654560994,0.3951150774955749,0.2802075147628784,0.911504089832306
lipo_spectra_hamming_0.65_1,0.65,364,92,0.0465735277375477,0.3072377741336822,0.2537017464637756,0.9455279111862184
lipo_spectra_hamming_0.65_2,0.65,783,196,0.0471076930532749,0.3382911384105682,0.2592582404613495,0.9248051047325134
lipo_spectra_hamming_0.70_0,0.7,300,76,0.0411729886239035,0.3213719725608825,0.2509602010250091,0.9245747923851012
lipo_spectra_hamming_0.70_1,0.7,726,182,0.0465574908046498,0.2775941491127014,0.2074062824249267,0.9579581022262572
