,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_hamming_0.00_0,0,1141,286,0.074130935,0.822055459,0.804404259,0.756151259,0.837355435
sider_spectra_hamming_0.00_1,0,1141,286,0.073861925,0.832375884,0.811016142,0.768065274,0.860441089
sider_spectra_hamming_0.00_2,0,1141,286,0.072280872,0.822864652,0.79424274,0.755633235,0.831074119
sider_spectra_hamming_0.05_0,0.05,1043,261,0.064934897,0.842164338,0.806298077,0.774797797,0.856459558
sider_spectra_hamming_0.05_1,0.05,1047,262,0.065025583,0.852419019,0.815861344,0.7807464,0.86394465
sider_spectra_hamming_0.05_2,0.05,978,245,0.064734494,0.862915218,0.82007724,0.788662136,0.88113308
sider_spectra_hamming_0.10_0,0.1,988,247,0.061129869,0.866358995,0.812039971,0.785575032,0.878056526
sider_spectra_hamming_0.10_1,0.1,978,245,0.061356716,0.874767661,0.817900002,0.795767188,0.885718942
sider_spectra_hamming_0.10_2,0.1,992,249,0.0620743,0.875838041,0.828272521,0.799791753,0.893843293
sider_spectra_hamming_0.15_0,0.15,768,192,0.060293423,0.885968924,0.840286851,0.810956776,0.908126652
sider_spectra_hamming_0.15_1,0.15,913,229,0.059060711,0.896030426,0.83518362,0.812712252,0.913424671
sider_spectra_hamming_0.15_2,0.15,922,231,0.05891525,0.897817135,0.84669745,0.819143832,0.92416805
sider_spectra_hamming_0.20_0,0.2,825,207,0.056193897,0.913667321,0.854407907,0.831275702,0.928919435
sider_spectra_hamming_0.20_1,0.2,776,195,0.05441377,0.917466938,0.848893523,0.833998084,0.927113652
sider_spectra_hamming_0.20_2,0.2,790,198,0.054523915,0.916296661,0.853016138,0.838196754,0.925935924
sider_spectra_hamming_0.25_0,0.25,532,133,0.053153123,0.922343254,0.848739505,0.839599013,0.932923853
sider_spectra_hamming_0.25_1,0.25,549,138,0.053658785,0.931261063,0.867732584,0.85346216,0.94221282
sider_spectra_hamming_0.25_2,0.25,720,180,0.052327489,0.929384947,0.86841625,0.852469146,0.939997256
sider_spectra_hamming_0.30_0,0.3,669,168,0.050708906,0.807150364,0.795591891,0.746472657,0.818903804
sider_spectra_hamming_0.30_1,0.3,605,152,0.04796793,0.81409812,0.781282187,0.741471708,0.820732832
sider_spectra_hamming_0.30_2,0.3,553,139,0.048140566,0.821083844,0.783947766,0.75326407,0.815889776
sider_spectra_hamming_0.35_0,0.35,604,151,0.048218571,0.837806463,0.798631907,0.76894778,0.862620056
sider_spectra_hamming_0.35_1,0.35,392,98,0.045893404,0.844366431,0.804582655,0.774376392,0.86710757
sider_spectra_hamming_0.35_2,0.35,357,90,0.046651725,0.84366864,0.797935128,0.774485588,0.850298524
sider_spectra_hamming_0.40_0,0.4,496,124,0.043399902,0.870165706,0.788398921,0.786439657,0.861142397
sider_spectra_hamming_0.40_1,0.4,542,136,0.04545014,0.88605988,0.818802118,0.804738581,0.884901762
sider_spectra_hamming_0.40_2,0.4,278,70,0.042248924,0.880592108,0.803766131,0.790476203,0.874433517
sider_spectra_hamming_0.45_0,0.45,516,129,0.044690586,0.882614493,0.812957168,0.79282409,0.89002037
sider_spectra_hamming_0.45_1,0.45,103,26,0.041733643,0.885386825,0.807799459,0.803418815,0.893205345
sider_spectra_hamming_0.45_2,0.45,380,95,0.039553865,0.897268534,0.822836101,0.812475622,0.909401894
sider_spectra_hamming_0.50_0,0.5,466,117,0.042284572,0.891968727,0.810960591,0.805634677,0.895542145
sider_spectra_hamming_0.50_1,0.5,167,42,0.039725237,0.905820072,0.81494987,0.820987642,0.881265044
sider_spectra_hamming_0.50_2,0.5,72,19,0.030568976,0.937789083,0.849382699,0.881091595,0.921003103
sider_spectra_hamming_0.55_0,0.55,391,98,0.038462464,0.893744648,0.806083679,0.807256222,0.891354442
sider_spectra_hamming_0.55_1,0.55,369,93,0.038274693,0.900203645,0.820309401,0.819593787,0.894721746
sider_spectra_hamming_0.55_2,0.55,314,79,0.036028763,0.91294837,0.82854408,0.832161248,0.910671651
sider_spectra_hamming_0.60_0,0.6,328,82,0.036196062,0.910466015,0.82837528,0.830623329,0.908560038
sider_spectra_hamming_0.60_1,0.6,277,70,0.034567492,0.932250321,0.838495553,0.845502675,0.923259616
sider_spectra_hamming_0.60_2,0.6,274,69,0.034470187,0.929813504,0.847885787,0.851315081,0.928228438
sider_spectra_hamming_0.65_0,0.65,311,78,0.034854199,0.919791579,0.823984504,0.827160478,0.9166224
sider_spectra_hamming_0.65_1,0.65,222,56,0.031767503,0.928516865,0.854981065,0.847883582,0.933335423
sider_spectra_hamming_0.65_2,0.65,101,26,0.023288003,0.939814806,0.81070745,0.858974338,0.919981718
sider_spectra_hamming_0.70_0,0.7,86,22,0.033216545,0.888139963,0.793103456,0.797979772,0.86649704
sider_spectra_hamming_0.70_1,0.7,154,39,0.025679074,0.947356224,0.857142866,0.868945897,0.944360852
sider_spectra_hamming_0.70_2,0.7,121,31,0.02528935,0.951114058,0.87621361,0.878136218,0.950862885
sider_spectra_hamming_0.75_0,0.75,102,26,0.018290294,0.974718273,0.869565189,0.910256386,0.953296781
sider_spectra_hamming_0.75_1,0.75,109,28,0.027415744,0.942910075,0.858257473,0.855820119,0.943923593
sider_spectra_hamming_0.75_2,0.75,20,6,0.038102214,0.933769703,0.820512831,0.827160478,0.925983489
