,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bbbp_spectra_tanimoto_0.00_0,0.0,1631,408,0.1121111049176788,0.8497680425643921,0.9065849781036376,0.8504902124404907,0.9472707509994508
bbbp_spectra_tanimoto_0.00_1,0.0,1631,408,0.1124482452033568,0.9270129799842834,0.9309791326522828,0.8946078419685364,0.971089005470276
bbbp_spectra_tanimoto_0.00_2,0.0,1631,408,0.1125901581533065,0.9667556285858154,0.9514867067337036,0.9240196347236632,0.9895299673080444
bbbp_spectra_tanimoto_0.05_0,0.05,755,189,0.0981028120530877,0.9761041402816772,0.9586206674575806,0.9365079402923584,0.993520438671112
bbbp_spectra_tanimoto_0.05_1,0.05,776,195,0.0957262819569424,0.9612556099891664,0.954063594341278,0.9333333373069764,0.9852756857872008
bbbp_spectra_tanimoto_0.05_2,0.05,778,195,0.0961496437449075,0.962538480758667,0.95302015542984,0.928205132484436,0.9873212575912476
bbbp_spectra_tanimoto_0.10_0,0.1,415,104,0.0870362423482464,0.9722222089767456,0.9590643048286438,0.932692289352417,0.9944862127304076
bbbp_spectra_tanimoto_0.10_1,0.1,400,101,0.086861486358473,0.9865800738334656,0.9545454382896424,0.9405940771102904,0.9935076236724854
bbbp_spectra_tanimoto_0.10_2,0.1,408,103,0.0861505537694033,0.998136043548584,0.9733333587646484,0.9611650705337524,0.99928617477417
bbbp_spectra_tanimoto_0.15_0,0.15,261,66,0.0780601608739693,0.9966405630111694,0.97826087474823,0.9696969985961914,0.998664915561676
bbbp_spectra_tanimoto_0.15_1,0.15,263,66,0.0772791893362877,0.994194507598877,0.9719626307487488,0.9545454382896424,0.9986021518707277
bbbp_spectra_tanimoto_0.15_2,0.15,250,63,0.0826193486193183,0.9553846120834352,0.9702970385551452,0.9523809552192688,0.9862379431724548
bbbp_spectra_tanimoto_0.20_0,0.2,182,46,0.0741156429409493,0.9730392694473268,0.9552238583564758,0.93478262424469,0.9905751943588256
bbbp_spectra_tanimoto_0.20_1,0.2,186,47,0.0754175005135293,0.911255419254303,0.9253731369972228,0.8936170339584351,0.9518410563468932
bbbp_spectra_tanimoto_0.20_2,0.2,180,46,0.0730210979455753,0.9419354796409608,0.892307698726654,0.8478260636329651,0.9740722179412842
bbbp_spectra_tanimoto_0.25_0,0.25,144,37,0.0698856589892688,0.996503472328186,0.9615384340286256,0.945945918560028,0.9985480308532716
bbbp_spectra_tanimoto_0.25_1,0.25,136,35,0.0680944512334487,0.995370388031006,0.9818181991577148,0.9714285731315612,0.9986526966094972
bbbp_spectra_tanimoto_0.25_2,0.25,132,33,0.0697195731858504,1.0,0.9818181991577148,0.9696969985961914,1.0
bbbp_spectra_tanimoto_0.30_0,0.3,102,26,0.0562590925711793,0.9809523224830629,0.9523809552192688,0.9230769276618958,0.9957650899887084
bbbp_spectra_tanimoto_0.30_1,0.3,103,26,0.0624472475236293,0.9659091234207152,0.9523809552192688,0.9230769276618958,0.9944318532943726
bbbp_spectra_tanimoto_0.30_2,0.3,107,27,0.0625890443140147,0.95652174949646,0.9545454382896424,0.92592591047287,0.9927473068237304
bbbp_spectra_tanimoto_0.35_0,0.35,81,21,0.0573055416694436,1.0,0.9714285731315612,0.9523809552192688,0.9999999403953552
bbbp_spectra_tanimoto_0.35_1,0.35,77,20,0.0556999955746395,0.9444444179534912,0.9411764740943908,0.8999999761581421,0.9938176274299622
bbbp_spectra_tanimoto_0.35_2,0.35,87,22,0.0624068746567215,1.0,0.9444444179534912,0.9090909361839294,1.0
bbbp_spectra_tanimoto_0.40_0,0.4,74,19,0.0584685765106442,1.0,1.0,1.0,1.0
bbbp_spectra_tanimoto_0.40_1,0.4,68,18,0.0619191565171187,0.9821428656578064,0.9629629850387572,0.9444444179534912,0.9950679540634156
bbbp_spectra_tanimoto_0.40_2,0.4,66,17,0.0518266272913197,0.0,0.9696969985961914,0.9411764740943908,1.0
bbbp_spectra_tanimoto_0.45_0,0.45,50,13,0.0487922898156407,0.8333333134651184,0.959999978542328,0.9230769276618958,0.9860625863075256
bbbp_spectra_tanimoto_0.45_1,0.45,57,15,0.0462866994318711,1.0,0.8235294222831726,0.800000011920929,1.0
bbbp_spectra_tanimoto_0.45_2,0.45,54,14,0.0555620703235079,0.9166666269302368,0.959999978542328,0.9285714030265808,0.9860625267028807
bbbp_spectra_tanimoto_0.50_0,0.5,45,12,0.0522960028258524,0.90625,0.8421052694320679,0.75,0.9491567611694336
bbbp_spectra_tanimoto_0.50_1,0.5,48,13,0.0525826236732814,0.9444444179534912,0.8999999761581421,0.8461538553237915,0.9751543402671814
bbbp_spectra_tanimoto_0.50_2,0.5,46,12,0.0511346165465082,0.8181818127632141,0.9090909361839294,0.8333333134651184,0.983402132987976
bbbp_spectra_tanimoto_0.55_0,0.55,37,10,0.0466353096016531,1.0,1.0,1.0,1.0
bbbp_spectra_tanimoto_0.55_1,0.55,40,10,0.0497607867437737,1.0,1.0,1.0,1.0
bbbp_spectra_tanimoto_0.55_2,0.55,40,10,0.047160195425422,0.9047619104385376,0.875,0.800000011920929,0.958758533000946
bbbp_spectra_tanimoto_0.60_0,0.6,31,8,0.0381567573896975,1.0,1.0,1.0,1.0
bbbp_spectra_tanimoto_0.60_1,0.6,34,9,0.0517227887975993,1.0,1.0,1.0,1.0
bbbp_spectra_tanimoto_0.60_2,0.6,35,9,0.05146785529598,0.8571428656578064,0.9333333373069764,0.8888888955116272,0.9587584733963012
