,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
clintox_spectra_tanimoto_0.00_0,0.0,1182,296,0.0964485904739083,0.9811115860939026,0.9215359091758728,0.9206081032752992,0.983053982257843
clintox_spectra_tanimoto_0.00_1,0.0,1182,296,0.095915163515078,0.989440619945526,0.959866225719452,0.9594594836235046,0.9905881881713868
clintox_spectra_tanimoto_0.00_2,0.0,1182,296,0.0973373101712712,0.9910160303115844,0.9681742191314696,0.9679054021835328,0.99177086353302
clintox_spectra_tanimoto_0.05_0,0.05,614,154,0.0814118799061554,0.9817813634872437,0.92948716878891,0.9285714030265808,0.9832252264022828
clintox_spectra_tanimoto_0.05_1,0.05,595,149,0.0835189078159776,0.9787694215774536,0.943894386291504,0.9429529905319214,0.9792090654373168
clintox_spectra_tanimoto_0.05_2,0.05,612,154,0.0829097867063627,0.9925776124000548,0.9741935729980468,0.9740259647369384,0.9935810565948486
clintox_spectra_tanimoto_0.10_0,0.1,333,84,0.0741784708626551,0.985116958618164,0.9529411792755128,0.9523809552192688,0.9855799674987792
clintox_spectra_tanimoto_0.10_1,0.1,344,87,0.070297756105779,0.9888961315155028,0.9491525292396544,0.948275864124298,0.9898693561553956
clintox_spectra_tanimoto_0.10_2,0.1,336,84,0.0725580749622677,0.992913782596588,0.9585798978805542,0.9583333134651184,0.9930809736251832
clintox_spectra_tanimoto_0.15_0,0.15,216,54,0.0631414076697971,0.9900549054145812,0.9724770784378052,0.9722222089767456,0.990510642528534
clintox_spectra_tanimoto_0.15_1,0.15,224,57,0.0651750682135049,0.9870689511299132,0.95652174949646,0.9561403393745422,0.9879029989242554
clintox_spectra_tanimoto_0.15_2,0.15,222,56,0.0629141293590978,0.9984055757522584,0.9734513163566588,0.9732142686843872,0.9984190464019777
clintox_spectra_tanimoto_0.20_0,0.2,157,40,0.0572505287515417,0.9912445545196532,0.9756097793579102,0.975000023841858,0.9934705495834352
clintox_spectra_tanimoto_0.20_1,0.2,159,40,0.0578498565050439,0.9862500429153442,0.9268292784690856,0.925000011920929,0.98699951171875
clintox_spectra_tanimoto_0.20_2,0.2,163,41,0.0595201484055856,0.9791666269302368,0.9397590160369872,0.9390243887901306,0.98017418384552
clintox_spectra_tanimoto_0.25_0,0.25,120,30,0.0571715537967939,0.995550572872162,0.9677419066429138,0.9666666388511658,0.9962592124938964
clintox_spectra_tanimoto_0.25_1,0.25,121,31,0.0554758096466041,0.9916666746139526,0.9375,0.9354838728904724,0.9924701452255248
clintox_spectra_tanimoto_0.25_2,0.25,122,31,0.0533535452199444,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.30_0,0.3,94,24,0.0520931611515613,0.9808696508407592,0.9411764740943908,0.9375,0.982386589050293
clintox_spectra_tanimoto_0.30_1,0.3,100,26,0.0476315819249116,0.9911242723464966,0.9230769276618958,0.9230769276618958,0.9914758801460266
clintox_spectra_tanimoto_0.30_2,0.3,90,23,0.0512531229369803,0.9829868078231812,0.95652174949646,0.95652174949646,0.9837822914123536
clintox_spectra_tanimoto_0.35_0,0.35,87,22,0.043965621230218,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.35_1,0.35,78,20,0.0463881952011008,0.9462499618530272,0.949999988079071,0.949999988079071,0.943146824836731
clintox_spectra_tanimoto_0.35_2,0.35,76,19,0.0489512244540693,0.9944444298744202,0.949999988079071,0.9473684430122375,0.9949936866760254
clintox_spectra_tanimoto_0.40_0,0.4,67,17,0.0420193716886246,1.0,0.9714285731315612,0.970588207244873,1.0
clintox_spectra_tanimoto_0.40_1,0.4,63,16,0.0384759683501377,0.9921875,0.9375,0.9375,0.9921722412109376
clintox_spectra_tanimoto_0.40_2,0.4,61,16,0.0431105445941437,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.45_0,0.45,58,15,0.0410353135001359,0.9866666793823242,0.9333333373069764,0.9333333373069764,0.9873086214065552
clintox_spectra_tanimoto_0.45_1,0.45,55,14,0.0360882636393168,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.45_2,0.45,60,15,0.0335200698059901,1.0,0.9677419066429138,0.9666666388511658,1.0
clintox_spectra_tanimoto_0.50_0,0.5,48,13,0.03562398503563,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.50_1,0.5,46,12,0.0390564712154556,0.9999999403953552,1.0,1.0,1.0
clintox_spectra_tanimoto_0.50_2,0.5,49,13,0.0278790186196835,1.0,0.9629629850387572,0.9615384340286256,0.9999999403953552
clintox_spectra_tanimoto_0.55_0,0.55,41,11,0.0314782215684115,0.949999988079071,0.782608687877655,0.7727272510528564,0.959762454032898
clintox_spectra_tanimoto_0.55_1,0.55,44,12,0.0290497327416049,0.9930555820465088,0.9166666865348816,0.9166666865348816,0.9933226704597472
clintox_spectra_tanimoto_0.55_2,0.55,42,11,0.0314955137185766,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.60_0,0.6,35,9,0.0236712980025613,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.60_1,0.6,33,9,0.0294234682853346,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.60_2,0.6,28,7,0.0363521308802875,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.65_0,0.65,28,8,0.0232251849043818,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.65_1,0.65,26,7,0.0345174354009949,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.65_2,0.65,28,8,0.0318080267745113,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.70_0,0.7,25,7,0.029605671991612,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.70_1,0.7,23,6,0.0248321712060493,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.70_2,0.7,24,7,0.0270388857688778,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.75_0,0.75,20,5,0.0249180800447831,1.0,0.9090909361839294,0.8999999761581421,1.0
clintox_spectra_tanimoto_0.75_1,0.75,19,5,0.0298736791142958,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.75_2,0.75,20,5,0.0284415636576273,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.80_0,0.8,16,4,0.0261283390616808,0.75,0.5,0.5,0.7958332896232605
clintox_spectra_tanimoto_0.80_1,0.8,16,5,0.0131596113108641,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.80_2,0.8,19,5,0.0275916659597653,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.85_0,0.85,12,4,0.0285302159117697,0.84375,0.75,0.75,0.8500000238418579
clintox_spectra_tanimoto_0.85_1,0.85,13,4,0.0141084999764342,0.6875,0.75,0.75,0.78125
clintox_spectra_tanimoto_0.85_2,0.85,16,4,0.0230949755410227,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.90_0,0.9,12,3,0.0131545540514452,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.90_1,0.9,12,3,0.0085010518644202,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.90_2,0.9,12,3,0.0222002348459077,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.95_0,0.95,7,2,0.0202380952380952,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.95_1,0.95,8,2,0.0,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.95_2,0.95,8,2,0.0239583333333333,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_1.00_0,1.0,5,2,0.0,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_1.00_1,1.0,6,2,0.0,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_1.00_2,1.0,7,2,0.0,1.0,1.0,1.0,1.0
