,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_tanimoto_0.00_0,0.0,898,225,0.0816205934157454,1.0158487558364868,0.7635228633880615,0.7827094793319702
delaney_spectra_tanimoto_0.00_1,0.0,898,225,0.0832264063599036,0.7271749973297119,0.5491765737533569,0.866401731967926
delaney_spectra_tanimoto_0.00_2,0.0,898,225,0.0829016132559847,0.7045454978942871,0.52513188123703,0.8732771277427673
delaney_spectra_tanimoto_0.05_0,0.05,516,129,0.0703231072603308,0.6292793154716492,0.4834940433502197,0.9044111371040344
delaney_spectra_tanimoto_0.05_1,0.05,508,127,0.0717382340298091,0.737107515335083,0.4970309436321258,0.8769785165786743
delaney_spectra_tanimoto_0.05_2,0.05,515,129,0.0700025772526036,0.6580260992050171,0.4743574857711792,0.9097495675086976
delaney_spectra_tanimoto_0.10_0,0.1,280,70,0.061297039325384,0.6860315203666687,0.5047016143798828,0.9090452194213868
delaney_spectra_tanimoto_0.10_1,0.1,298,75,0.0590646911286932,0.5621623396873474,0.4175881743431091,0.9238293170928956
delaney_spectra_tanimoto_0.10_2,0.1,296,75,0.0614876605331194,0.50047367811203,0.4050387144088745,0.9269506931304932
delaney_spectra_tanimoto_0.15_0,0.15,195,49,0.0563400542369564,0.66380375623703,0.4954715669155121,0.9207494258880616
delaney_spectra_tanimoto_0.15_1,0.15,192,48,0.0560033811505449,0.4799371659755707,0.3832763433456421,0.9231494665145874
delaney_spectra_tanimoto_0.15_2,0.15,196,50,0.0564503052300082,0.5202710628509521,0.4037580192089081,0.947845220565796
delaney_spectra_tanimoto_0.20_0,0.2,131,33,0.049307596252039,0.6827832460403442,0.5209914445877075,0.9159737825393676
delaney_spectra_tanimoto_0.20_1,0.2,125,32,0.0495400078668048,0.4964315891265869,0.3869806230068207,0.9525047540664672
delaney_spectra_tanimoto_0.20_2,0.2,134,34,0.0469096772284832,0.6436530351638794,0.4569027423858642,0.9344804883003236
delaney_spectra_tanimoto_0.25_0,0.25,100,26,0.0464445668892079,0.5083129405975342,0.40007084608078,0.9279727935791016
delaney_spectra_tanimoto_0.25_1,0.25,95,24,0.0467475690888837,0.9198893308639526,0.5683161020278931,0.8283776044845581
delaney_spectra_tanimoto_0.25_2,0.25,101,26,0.0489181856227062,0.52129727602005,0.375281274318695,0.9340767860412598
delaney_spectra_tanimoto_0.30_0,0.3,71,18,0.0442959092545958,0.72657710313797,0.5304093956947327,0.8862438201904297
delaney_spectra_tanimoto_0.30_1,0.3,82,21,0.0418546208028932,0.6030640006065369,0.468860000371933,0.9441399574279784
delaney_spectra_tanimoto_0.30_2,0.3,72,18,0.0491379708108335,0.590788722038269,0.457486480474472,0.8682852983474731
delaney_spectra_tanimoto_0.35_0,0.35,60,16,0.0446321660008917,0.4807165265083313,0.3770281374454498,0.9715927839279176
delaney_spectra_tanimoto_0.35_1,0.35,60,15,0.0467863526524705,0.314984917640686,0.2535892426967621,0.9634158611297609
delaney_spectra_tanimoto_0.35_2,0.35,65,17,0.0372001993080739,0.5210095047950745,0.4181821346282959,0.9505435228347778
delaney_spectra_tanimoto_0.40_0,0.4,45,12,0.0439539816944501,0.4504494965076446,0.3256715834140777,0.96250581741333
delaney_spectra_tanimoto_0.40_1,0.4,44,12,0.0357869063105275,0.4553570449352264,0.3877781927585602,0.9114357233047484
delaney_spectra_tanimoto_0.40_2,0.4,42,11,0.0437864537178525,0.3679425418376922,0.28216353058815,0.96678227186203
delaney_spectra_tanimoto_0.45_0,0.45,40,10,0.0341227978225842,0.3807721436023712,0.3246446251869201,0.9618736505508424
delaney_spectra_tanimoto_0.45_1,0.45,33,9,0.0427683616702881,1.321651816368103,0.9261576533317566,0.6808637976646423
delaney_spectra_tanimoto_0.45_2,0.45,30,8,0.0366113533644428,0.4617671370506286,0.3067863583564758,0.9663898348808287
delaney_spectra_tanimoto_0.50_0,0.5,31,8,0.028809450247439,0.3353630602359772,0.2612879276275635,0.950002908706665
delaney_spectra_tanimoto_0.50_1,0.5,29,8,0.0355982638918132,1.1757891178131104,0.8064208626747131,0.7772828936576843
delaney_spectra_tanimoto_0.50_2,0.5,27,7,0.040425095937957,0.8003092408180237,0.6776162981987,0.9207703471183776
delaney_spectra_tanimoto_0.55_0,0.55,21,6,0.0355130657547509,0.9178528785705566,0.7046370506286621,0.827875554561615
delaney_spectra_tanimoto_0.55_1,0.55,21,6,0.050397165772968,0.737135648727417,0.5528036952018738,0.4129900336265564
delaney_spectra_tanimoto_0.55_2,0.55,24,7,0.0296998817922326,0.663185715675354,0.3987101018428802,0.8862367272377014
delaney_spectra_tanimoto_0.60_0,0.6,20,6,0.0246071258208346,0.6172634959220886,0.5330680012702942,0.8588424921035767
delaney_spectra_tanimoto_0.60_1,0.6,16,5,0.0383712400369912,0.6786611080169678,0.4221204817295074,0.7865688800811768
delaney_spectra_tanimoto_0.60_2,0.6,17,5,0.0286397152543602,0.302321195602417,0.2171717584133148,0.9876834154129028
delaney_spectra_tanimoto_0.65_0,0.65,14,4,0.0422304865226879,0.634515106678009,0.5537922382354736,0.9640900492668152
delaney_spectra_tanimoto_0.65_1,0.65,16,5,0.0292477908406771,0.5317428708076477,0.4185976982116699,0.9608915448188782
delaney_spectra_tanimoto_0.65_2,0.65,17,5,0.027465141414804,0.6892889142036438,0.5397818684577942,0.7739270925521851
delaney_spectra_tanimoto_0.70_0,0.7,14,4,0.0455499845146087,0.5644095540046692,0.4472131729125976,0.8009408116340637
delaney_spectra_tanimoto_0.70_1,0.7,13,4,0.0310713069048387,0.4774263501167297,0.4650915861129761,0.9388111233711244
delaney_spectra_tanimoto_0.70_2,0.7,12,3,0.0376919360679676,1.4006166458129885,1.115046143531799,-0.3396210670471191
delaney_spectra_tanimoto_0.75_0,0.75,10,3,0.0252933130630859,0.6149113178253174,0.4265054762363434,0.8336212635040283
delaney_spectra_tanimoto_0.75_1,0.75,14,4,0.0152602174861463,0.3177551925182342,0.3085375428199768,0.4676069021224975
delaney_spectra_tanimoto_0.75_2,0.75,14,4,0.037511568715351,0.863898754119873,0.786900520324707,0.0110219717025756
delaney_spectra_tanimoto_0.80_0,0.8,7,2,0.0075,0.44378462433815,0.3681511878967285,0.9118825197219848
delaney_spectra_tanimoto_0.80_1,0.8,11,3,0.0579576304319821,0.4216014444828033,0.3563643991947174,0.939048171043396
delaney_spectra_tanimoto_0.80_2,0.8,8,3,0.0270134938029519,1.0217565298080444,0.713618814945221,0.6744122505187988
delaney_spectra_tanimoto_0.85_0,0.85,6,2,0.0124385749385749,0.7064277529716492,0.6279512643814087,0.6954099535942078
delaney_spectra_tanimoto_0.85_1,0.85,9,3,0.0197956577266922,0.3686736524105072,0.361353725194931,0.9833980202674866
delaney_spectra_tanimoto_0.85_2,0.85,8,3,0.0184709059709059,0.5221215486526489,0.4694169759750366,0.9700363874435424
delaney_spectra_tanimoto_0.90_0,0.9,7,2,0.0216450216450216,1.023168444633484,0.8060166239738464,-1.9079852104187012
delaney_spectra_tanimoto_0.90_1,0.9,8,2,0.0090104166666666,0.504928469657898,0.4290434718132019,-8.364655494689941
delaney_spectra_tanimoto_0.90_2,0.9,8,2,0.01098166539343,2.0762839317321777,2.0158233642578125,-0.7828434705734253
delaney_spectra_tanimoto_0.95_0,0.95,5,2,0.0237015781922525,0.3835591673851013,0.3478094041347503,0.9295421838760376
delaney_spectra_tanimoto_0.95_1,0.95,7,2,0.0,1.282851219177246,0.994968831539154,0.2332083582878112
delaney_spectra_tanimoto_0.95_2,0.95,8,2,0.0161904761904761,1.6273967027664185,1.317135214805603,0.7261793613433838
delaney_spectra_tanimoto_1.00_0,1.0,4,2,0.0,1.348791241645813,1.195744276046753,-0.1459039449691772
delaney_spectra_tanimoto_1.00_1,1.0,5,2,0.0,0.6228136420249939,0.4877070188522339,0.8241010308265686
delaney_spectra_tanimoto_1.00_2,1.0,4,2,0.0,0.18068666756153107,0.17634053528308868,0.9933755993843079
