,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
lipo_spectra_tanimoto_0.00_0,0.0,3360,840,0.1300016515442223,0.7884473204612732,0.5813195705413818,0.6007853150367737
lipo_spectra_tanimoto_0.00_1,0.0,3360,840,0.1294474500528298,0.6459416747093201,0.4898356795310974,0.6931411027908325
lipo_spectra_tanimoto_0.00_2,0.0,3360,840,0.1302794290116022,0.5127177238464355,0.403180181980133,0.8145511150360107
lipo_spectra_tanimoto_0.05_0,0.05,1120,280,0.1145758673623577,0.5408231616020203,0.4116309583187103,0.8252923488616943
lipo_spectra_tanimoto_0.05_1,0.05,1136,285,0.1151882460094051,0.4898077845573425,0.3754128217697143,0.8438665270805359
lipo_spectra_tanimoto_0.05_2,0.05,1126,282,0.1135451054518753,0.4742265939712524,0.3608125150203705,0.8202688694000244
lipo_spectra_tanimoto_0.10_0,0.1,540,136,0.1048820541178812,0.4538280665874481,0.3520621061325073,0.8339167833328247
lipo_spectra_tanimoto_0.10_1,0.1,566,142,0.1072158098207418,0.4578301906585693,0.3624052107334137,0.8629961609840393
lipo_spectra_tanimoto_0.10_2,0.1,555,139,0.1053216157902989,0.4254357814788818,0.3291558921337127,0.8647753000259399
lipo_spectra_tanimoto_0.15_0,0.15,333,84,0.1031982766516447,0.4550988972187042,0.3307841718196869,0.8382419943809509
lipo_spectra_tanimoto_0.15_1,0.15,324,82,0.1008534596351594,0.3935177624225616,0.3095332682132721,0.912247598171234
lipo_spectra_tanimoto_0.15_2,0.15,324,81,0.1021203047934051,0.3769216239452362,0.2910070121288299,0.9145841002464294
lipo_spectra_tanimoto_0.20_0,0.2,227,57,0.0984914724188486,0.4003658294677734,0.3168120682239532,0.8846352696418762
lipo_spectra_tanimoto_0.20_1,0.2,231,58,0.0981684230064892,0.469904214143753,0.3400288820266723,0.9088905453681946
lipo_spectra_tanimoto_0.20_2,0.2,216,55,0.0974010821332702,0.4098747670650482,0.3034882247447967,0.897964358329773
lipo_spectra_tanimoto_0.25_0,0.25,144,36,0.0953766954024715,0.4147555530071258,0.3265211880207062,0.8983469009399414
lipo_spectra_tanimoto_0.25_1,0.25,160,40,0.0942587551172541,0.4432499706745147,0.3416135311126709,0.8929850459098816
lipo_spectra_tanimoto_0.25_2,0.25,163,41,0.0952909033872406,0.4795344471931457,0.3339976072311401,0.8552074432373047
lipo_spectra_tanimoto_0.30_0,0.3,124,32,0.0946288873391642,0.4807271361351013,0.3782797157764435,0.8911024928092957
lipo_spectra_tanimoto_0.30_1,0.3,125,32,0.0919950739484733,0.3766956925392151,0.3016148209571838,0.8992485404014587
lipo_spectra_tanimoto_0.30_2,0.3,117,30,0.0920181344020046,0.4330514967441559,0.3389569222927093,0.908045530319214
lipo_spectra_tanimoto_0.35_0,0.35,89,23,0.0917721522864226,0.3559667766094208,0.2562700808048248,0.9144997000694276
lipo_spectra_tanimoto_0.35_1,0.35,99,25,0.0895478254031194,0.4991902112960815,0.3884655833244324,0.8755104541778564
lipo_spectra_tanimoto_0.35_2,0.35,89,23,0.0880212030530732,0.6148219108581543,0.4931404292583465,0.8300704956054688
lipo_spectra_tanimoto_0.40_0,0.4,69,18,0.0905250071960378,0.5992273092269897,0.4204939603805542,0.7665060758590698
lipo_spectra_tanimoto_0.40_1,0.4,68,17,0.0860503046413026,0.3016761541366577,0.222504436969757,0.9455188512802124
lipo_spectra_tanimoto_0.40_2,0.4,75,19,0.0835406745409815,0.593651533126831,0.4281249940395355,0.8389096260070801
lipo_spectra_tanimoto_0.45_0,0.45,62,16,0.0874033377084789,0.353037565946579,0.3006497621536255,0.9358835220336914
lipo_spectra_tanimoto_0.45_1,0.45,56,14,0.0889934861707758,0.478254497051239,0.4229645133018493,0.7009884119033813
lipo_spectra_tanimoto_0.45_2,0.45,52,14,0.0900855322736492,0.6882001757621765,0.5279039740562439,0.6744840145111084
lipo_spectra_tanimoto_0.50_0,0.5,42,11,0.0858814268725092,0.5759687423706055,0.5161847472190857,0.7586339712142944
lipo_spectra_tanimoto_0.50_1,0.5,42,11,0.0766628792748529,0.4432684779167175,0.3809586763381958,0.8646645545959473
lipo_spectra_tanimoto_0.50_2,0.5,47,12,0.0824384575670549,0.3377498686313629,0.2495518177747726,0.876089334487915
lipo_spectra_tanimoto_0.55_0,0.55,36,9,0.0806604411529638,0.7893595695495605,0.4449821710586548,0.4374774694442749
lipo_spectra_tanimoto_0.55_1,0.55,44,11,0.083585346862908,0.5872482061386108,0.4839176833629608,0.8202458024024963
lipo_spectra_tanimoto_0.55_2,0.55,34,9,0.0823757748255529,0.4802583754062652,0.4376853406429291,0.7983562350273132
lipo_spectra_tanimoto_0.60_0,0.6,29,8,0.083422318385459,0.7457242608070374,0.6468146443367004,0.6731823682785034
lipo_spectra_tanimoto_0.60_1,0.6,28,8,0.0867431314472734,0.4855657517910003,0.4297981262207031,0.4171242117881775
lipo_spectra_tanimoto_0.60_2,0.6,28,8,0.0810753296560166,0.6836795210838318,0.5529311895370483,0.3546128273010254
lipo_spectra_tanimoto_0.65_0,0.65,25,7,0.0750720795879871,0.5229780673980713,0.4561268985271454,0.7998548746109009
lipo_spectra_tanimoto_0.65_1,0.65,23,6,0.0741697410258195,0.8077853322029114,0.6689434051513672,0.3772785663604736
lipo_spectra_tanimoto_0.65_2,0.65,24,6,0.0804663462049432,0.3466064631938934,0.2553243637084961,0.9491304159164428
lipo_spectra_tanimoto_0.70_0,0.7,16,5,0.0768189078113837,0.3556897938251495,0.3182784914970398,0.932812750339508
lipo_spectra_tanimoto_0.70_1,0.7,20,5,0.0816428704419526,0.7948978543281555,0.7201674580574036,-0.5922386646270752
lipo_spectra_tanimoto_0.70_2,0.7,20,6,0.068598286794354,0.2711227238178253,0.2217767983675003,0.950441837310791
lipo_spectra_tanimoto_0.75_0,0.75,16,4,0.089890354755159,0.2883633077144623,0.2478235512971878,0.8898631930351257
lipo_spectra_tanimoto_0.75_1,0.75,15,4,0.0734738671186651,0.6205288767814636,0.4888236224651336,-1.013366937637329
lipo_spectra_tanimoto_0.75_2,0.75,16,5,0.0712176428428024,0.7197887301445007,0.5997604131698608,0.7861144542694092
lipo_spectra_tanimoto_0.80_0,0.8,11,3,0.0843396499010112,0.2548167109489441,0.248176172375679,0.7334747314453125
lipo_spectra_tanimoto_0.80_1,0.8,13,4,0.0646600916685623,0.8557515740394592,0.7507228255271912,-0.9727181196212769
lipo_spectra_tanimoto_0.80_2,0.8,12,3,0.0637593860323042,0.3174607455730438,0.3150347769260406,0.9453305006027222
lipo_spectra_tanimoto_0.85_0,0.85,8,3,0.0750251200226944,0.975829005241394,0.7554476261138916,-2.608499765396118
lipo_spectra_tanimoto_0.85_1,0.85,9,3,0.0710559004185766,1.7713468074798584,1.602208137512207,0.25553959608078
lipo_spectra_tanimoto_0.85_2,0.85,11,3,0.0684604233969656,0.7416253089904785,0.6506314277648926,-0.1815704107284546
lipo_spectra_tanimoto_0.90_0,0.9,7,2,0.0700391732895801,1.1215075254440308,1.032899260520935,0.147975742816925
lipo_spectra_tanimoto_0.90_1,0.9,8,2,0.064569124702863,0.7711854577064514,0.7491822838783264,-19.57876968383789
lipo_spectra_tanimoto_0.90_2,0.9,9,3,0.0634648479610286,0.5948168039321899,0.5602990984916687,0.7498693466186523
lipo_spectra_tanimoto_0.95_1,0.95,5,2,0.0558730224827786,1.294284105300903,1.2942185401916504,-30.66657066345215
lipo_spectra_tanimoto_0.95_2,0.95,6,2,0.061130457718553244,0.15540026128292084,0.13214349746704102,0.8527712821960449
