,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.00_0,0.0,1141,286,0.0949960434153769,0.8138967156410217,0.7993124127388,0.7580937743186951,0.837389349937439
sider_spectra_tanimoto_0.00_1,0.0,1141,286,0.0953662386950199,0.8314674496650696,0.7996965050697327,0.7606837749481201,0.8390371799468994
sider_spectra_tanimoto_0.00_2,0.0,1141,286,0.0960516822003068,0.8404907584190369,0.816647469997406,0.7735042572021484,0.869420051574707
sider_spectra_tanimoto_0.05_0,0.05,600,150,0.0785587718061459,0.8596282005310059,0.8105764985084534,0.7841975092887878,0.8720450401306152
sider_spectra_tanimoto_0.05_1,0.05,604,151,0.0806462488275343,0.8449026942253113,0.8009448051452637,0.7726269364356995,0.858243465423584
sider_spectra_tanimoto_0.05_2,0.05,611,153,0.0798685694658798,0.8616082668304443,0.8152919411659241,0.7847978472709656,0.8757829070091248
sider_spectra_tanimoto_0.10_0,0.1,335,84,0.0664683459573742,0.8621143102645874,0.8198804259300232,0.787477970123291,0.887010931968689
sider_spectra_tanimoto_0.10_1,0.1,336,84,0.066420830344408,0.8691838383674622,0.8055888414382935,0.7852733731269836,0.8768634796142578
sider_spectra_tanimoto_0.10_2,0.1,348,88,0.0650831603091541,0.8712683916091919,0.8100668787956238,0.7967171669006348,0.8801581263542175
sider_spectra_tanimoto_0.15_0,0.15,236,59,0.0542481164196293,0.8868772387504578,0.7939032316207886,0.8047708868980408,0.8731746077537537
sider_spectra_tanimoto_0.15_1,0.15,237,60,0.0552841306342365,0.8808858394622803,0.7924764752388,0.7956790328025818,0.8659741282463074
sider_spectra_tanimoto_0.15_2,0.15,232,58,0.0591165838394021,0.8887205123901367,0.824381411075592,0.8141762614250183,0.8888086676597595
sider_spectra_tanimoto_0.20_0,0.2,176,45,0.0489938884399089,0.8973320126533508,0.8020219206809998,0.806584358215332,0.8924765586853027
