dataset,split_type,split_num,model,roc_auc
bace,spectra_tanimoto,0.00_0,LogReg,0.905489417989418
bace,spectra_tanimoto,0.00_0,RF,0.9095679012345679
bace,spectra_tanimoto,0.00_0,XGB,0.9034391534391534
bace,spectra_tanimoto,0.00_0,SVM,0.9028880070546736
bace,spectra_tanimoto,0.00_1,LogReg,0.8754139072847683
bace,spectra_tanimoto,0.00_1,RF,0.9105088881143255
bace,spectra_tanimoto,0.00_1,XGB,0.8779627047751831
bace,spectra_tanimoto,0.00_1,SVM,0.9002701289647961
bace,spectra_tanimoto,0.00_2,LogReg,0.8698961477010474
bace,spectra_tanimoto,0.00_2,RF,0.8844754127463164
bace,spectra_tanimoto,0.00_2,XGB,0.8809692881235576
bace,spectra_tanimoto,0.00_2,SVM,0.8835212142730339
bace,spectra_tanimoto,0.05_0,LogReg,0.8644808743169399
bace,spectra_tanimoto,0.05_0,RF,0.8621129326047359
bace,spectra_tanimoto,0.05_0,XGB,0.8422586520947176
bace,spectra_tanimoto,0.05_0,SVM,0.8271402550091075
bace,spectra_tanimoto,0.05_1,LogReg,0.8865650478553704
bace,spectra_tanimoto,0.05_1,RF,0.8975540588443814
bace,spectra_tanimoto,0.05_1,XGB,0.8609535625664657
bace,spectra_tanimoto,0.05_1,SVM,0.8993264799716413
bace,spectra_tanimoto,0.05_2,LogReg,0.8833762886597939
bace,spectra_tanimoto,0.05_2,RF,0.8741715758468336
bace,spectra_tanimoto,0.05_2,XGB,0.8637702503681884
bace,spectra_tanimoto,0.05_2,SVM,0.8777614138438881
bace,spectra_tanimoto,0.10_0,LogReg,0.8577586206896552
bace,spectra_tanimoto,0.10_0,RF,0.8790024630541873
bace,spectra_tanimoto,0.10_0,XGB,0.8694581280788177
bace,spectra_tanimoto,0.10_0,SVM,0.853448275862069
bace,spectra_tanimoto,0.10_1,LogReg,0.8840985442329228
bace,spectra_tanimoto,0.10_1,RF,0.9574468085106382
bace,spectra_tanimoto,0.10_1,XGB,0.9053751399776035
bace,spectra_tanimoto,0.10_1,SVM,0.9294512877939529
bace,spectra_tanimoto,0.10_2,LogReg,0.9043803418803419
bace,spectra_tanimoto,0.10_2,RF,0.922275641025641
