dataset,split_type,split_num,model,roc_auc
clintox,spectra_tanimoto,0.00_0,LogReg,0.886091529165494
clintox,spectra_tanimoto,0.00_0,RF,0.8738172956832254
clintox,spectra_tanimoto,0.00_0,XGB,0.8504573835365485
clintox,spectra_tanimoto,0.00_0,SVM,0.9172223988279522
clintox,spectra_tanimoto,0.00_1,LogReg,0.7991204268982046
clintox,spectra_tanimoto,0.00_1,RF,0.7192369872925428
clintox,spectra_tanimoto,0.00_1,XGB,0.7304718943607833
clintox,spectra_tanimoto,0.00_1,SVM,0.7868301451634785
clintox,spectra_tanimoto,0.00_2,LogReg,0.7802774005021196
clintox,spectra_tanimoto,0.00_2,RF,0.7626757761589222
clintox,spectra_tanimoto,0.00_2,XGB,0.7429572923954947
clintox,spectra_tanimoto,0.00_2,SVM,0.8072025352924229
clintox,spectra_tanimoto,0.05_0,LogReg,0.7264632936507937
clintox,spectra_tanimoto,0.05_0,RF,0.6653831845238095
clintox,spectra_tanimoto,0.05_0,XGB,0.6061755952380952
clintox,spectra_tanimoto,0.05_0,SVM,0.7413070436507937
clintox,spectra_tanimoto,0.05_1,LogReg,0.8036716903073285
clintox,spectra_tanimoto,0.05_1,RF,0.7492427600472813
clintox,spectra_tanimoto,0.05_1,XGB,0.8633889873916469
clintox,spectra_tanimoto,0.05_1,SVM,0.7415903270291568
clintox,spectra_tanimoto,0.05_2,LogReg,0.7601300731096128
clintox,spectra_tanimoto,0.05_2,RF,0.8127962812265881
clintox,spectra_tanimoto,0.05_2,XGB,0.6691607033678645
clintox,spectra_tanimoto,0.05_2,SVM,0.8666621457542174
clintox,spectra_tanimoto,0.10_0,LogReg,0.8499000999000998
clintox,spectra_tanimoto,0.10_0,RF,0.6512903762903762
clintox,spectra_tanimoto,0.10_0,XGB,0.6814518814518815
clintox,spectra_tanimoto,0.10_0,SVM,0.8176656676656677
clintox,spectra_tanimoto,0.10_1,LogReg,0.7582417582417582
clintox,spectra_tanimoto,0.10_1,RF,0.6341575091575091
clintox,spectra_tanimoto,0.10_1,XGB,0.6167582417582418
clintox,spectra_tanimoto,0.10_1,SVM,0.7884615384615383
clintox,spectra_tanimoto,0.10_2,LogReg,0.4638157894736842
clintox,spectra_tanimoto,0.10_2,RF,0.5361842105263157
clintox,spectra_tanimoto,0.10_2,XGB,0.7129934210526316
clintox,spectra_tanimoto,0.10_2,SVM,0.3848684210526316
clintox,spectra_tanimoto,0.15_0,LogReg,0.5427941176470588
clintox,spectra_tanimoto,0.15_0,RF,0.4666666666666667
clintox,spectra_tanimoto,0.15_0,XGB,0.3863725490196078
clintox,spectra_tanimoto,0.15_0,SVM,0.9436601307189543
clintox,spectra_tanimoto,0.15_1,LogReg,0.5291023441966838
clintox,spectra_tanimoto,0.15_1,RF,0.46652372784448254
clintox,spectra_tanimoto,0.15_1,XGB,0.5820754716981131
clintox,spectra_tanimoto,0.15_1,SVM,0.7228130360205832
clintox,spectra_tanimoto,0.15_2,LogReg,0.6759259259259259
clintox,spectra_tanimoto,0.15_2,RF,0.38888888888888895
clintox,spectra_tanimoto,0.15_2,XGB,0.2916666666666667
clintox,spectra_tanimoto,0.15_2,SVM,0.6851851851851852
clintox,spectra_tanimoto,0.20_0,LogReg,0.763157894736842
clintox,spectra_tanimoto,0.20_0,RF,0.6228070175438596
clintox,spectra_tanimoto,0.20_0,XGB,0.6008771929824561
clintox,spectra_tanimoto,0.20_0,SVM,0.2368421052631579
clintox,spectra_tanimoto,0.20_1,LogReg,0.7855855855855856
clintox,spectra_tanimoto,0.20_1,RF,0.8177606177606178
clintox,spectra_tanimoto,0.20_1,XGB,0.42335907335907336
clintox,spectra_tanimoto,0.20_1,SVM,0.047619047619047616
clintox,spectra_tanimoto,0.20_2,LogReg,0.44440789473684206
clintox,spectra_tanimoto,0.20_2,RF,0.6682017543859649
clintox,spectra_tanimoto,0.20_2,XGB,0.5173245614035088
clintox,spectra_tanimoto,0.20_2,SVM,0.7953947368421053
clintox,spectra_tanimoto,0.25_0,LogReg,0.08333333333333334
clintox,spectra_tanimoto,0.25_0,RF,0.08333333333333333
clintox,spectra_tanimoto,0.25_0,XGB,0.37962962962962965
clintox,spectra_tanimoto,0.25_0,SVM,0.0
clintox,spectra_tanimoto,0.25_1,LogReg,0.780241935483871
clintox,spectra_tanimoto,0.25_1,RF,0.5135752688172043
clintox,spectra_tanimoto,0.25_1,XGB,0.780510752688172
clintox,spectra_tanimoto,0.25_1,SVM,0.24516129032258063
clintox,spectra_tanimoto,0.25_2,LogReg,
clintox,spectra_tanimoto,0.25_2,RF,
