dataset,split_type,split_num,model,root_mean_squared_error
freesolv,spectra_tanimoto,0.00_0,KRR,3.5369105671816663
freesolv,spectra_tanimoto,0.00_0,LinReg,3.9428342204516413
freesolv,spectra_tanimoto,0.00_1,KRR,3.221687639405254
freesolv,spectra_tanimoto,0.00_1,LinReg,3.713901099470994
freesolv,spectra_tanimoto,0.00_2,KRR,3.4483041981095575
freesolv,spectra_tanimoto,0.00_2,LinReg,3.8680648037407503
freesolv,spectra_tanimoto,0.05_0,KRR,3.497124257029826
freesolv,spectra_tanimoto,0.05_0,LinReg,3.8133042820205634
freesolv,spectra_tanimoto,0.05_1,KRR,2.9058967155195314
freesolv,spectra_tanimoto,0.05_1,LinReg,3.271258377739187
freesolv,spectra_tanimoto,0.05_2,KRR,2.851760329606554
freesolv,spectra_tanimoto,0.05_2,LinReg,3.207921688319002
freesolv,spectra_tanimoto,0.10_0,KRR,4.556398278650675
freesolv,spectra_tanimoto,0.10_0,LinReg,4.8783299187667515
freesolv,spectra_tanimoto,0.10_1,KRR,3.3804038807954147
freesolv,spectra_tanimoto,0.10_1,LinReg,3.650786149463873
freesolv,spectra_tanimoto,0.10_2,KRR,3.7323023313885746
freesolv,spectra_tanimoto,0.10_2,LinReg,3.9940391380610722
freesolv,spectra_tanimoto,0.15_0,KRR,3.784974409153218
freesolv,spectra_tanimoto,0.15_0,LinReg,3.9404855560239733
freesolv,spectra_tanimoto,0.15_1,KRR,3.2562438520885983
freesolv,spectra_tanimoto,0.15_1,LinReg,3.412679878809811
freesolv,spectra_tanimoto,0.15_2,KRR,3.7294455343008885
freesolv,spectra_tanimoto,0.15_2,LinReg,3.8941893105943484
freesolv,spectra_tanimoto,0.20_0,KRR,4.481174814579459
freesolv,spectra_tanimoto,0.20_0,LinReg,4.654506231326458
freesolv,spectra_tanimoto,0.20_1,KRR,3.08307218138832
freesolv,spectra_tanimoto,0.20_1,LinReg,3.1894082786911455
freesolv,spectra_tanimoto,0.20_2,KRR,4.5940121825989015
freesolv,spectra_tanimoto,0.20_2,LinReg,4.720264542286254
freesolv,spectra_tanimoto,0.25_0,KRR,3.554731349454497
freesolv,spectra_tanimoto,0.25_0,LinReg,3.622731202745649
freesolv,spectra_tanimoto,0.25_1,KRR,5.406105960441713
freesolv,spectra_tanimoto,0.25_1,LinReg,5.392159756687169
freesolv,spectra_tanimoto,0.25_2,KRR,4.881025747641882
freesolv,spectra_tanimoto,0.25_2,LinReg,5.005534510388863
freesolv,spectra_tanimoto,0.30_0,KRR,2.74044738487438
freesolv,spectra_tanimoto,0.30_0,LinReg,2.7349028160065387
freesolv,spectra_tanimoto,0.30_1,KRR,6.051231986652294
freesolv,spectra_tanimoto,0.30_1,LinReg,6.308758020652105
freesolv,spectra_tanimoto,0.30_2,KRR,2.4529455846542194
freesolv,spectra_tanimoto,0.30_2,LinReg,2.4695387904973187
freesolv,spectra_tanimoto,0.35_0,KRR,4.5508192907453795
freesolv,spectra_tanimoto,0.35_0,LinReg,3.8830908970492373
freesolv,spectra_tanimoto,0.35_1,KRR,3.11368084899435
freesolv,spectra_tanimoto,0.35_1,LinReg,3.125131377169202
freesolv,spectra_tanimoto,0.35_2,KRR,7.5245583942416125
freesolv,spectra_tanimoto,0.35_2,LinReg,7.735821289327213
freesolv,spectra_tanimoto,0.40_0,KRR,3.1590713769990315
freesolv,spectra_tanimoto,0.40_0,LinReg,3.2319653526633494
freesolv,spectra_tanimoto,0.40_1,KRR,3.8689477100685505
freesolv,spectra_tanimoto,0.40_1,LinReg,4.020838454545397
freesolv,spectra_tanimoto,0.40_2,KRR,3.385992816799969
freesolv,spectra_tanimoto,0.40_2,LinReg,2.8696846086578356
freesolv,spectra_tanimoto,0.45_0,KRR,3.979606469851827
freesolv,spectra_tanimoto,0.45_0,LinReg,4.108125308652026
freesolv,spectra_tanimoto,0.45_1,KRR,4.834435888038979
freesolv,spectra_tanimoto,0.45_1,LinReg,4.791629800518652
freesolv,spectra_tanimoto,0.45_2,KRR,4.683943480268734
freesolv,spectra_tanimoto,0.45_2,LinReg,4.639957803322425
freesolv,spectra_tanimoto,0.50_0,KRR,4.282552324260584
freesolv,spectra_tanimoto,0.50_0,LinReg,4.446787344485323
freesolv,spectra_tanimoto,0.50_1,KRR,4.153467387894705
freesolv,spectra_tanimoto,0.50_1,LinReg,5.292533115611492
freesolv,spectra_tanimoto,0.50_2,KRR,4.298209562171509
