dataset,split_type,split_num,model,roc_auc
sider,spectra_tanimoto,0.00_0,LogReg,0.6361282190018367
sider,spectra_tanimoto,0.00_0,RF,0.6587806781484046
sider,spectra_tanimoto,0.00_0,XGB,0.6257849182544818
sider,spectra_tanimoto,0.00_0,SVM,0.6340026618155087
sider,spectra_tanimoto,0.00_1,LogReg,0.6079552482422876
sider,spectra_tanimoto,0.00_1,RF,0.6588398872112622
sider,spectra_tanimoto,0.00_1,XGB,0.6414418776610298
sider,spectra_tanimoto,0.00_1,SVM,0.6175658854592215
sider,spectra_tanimoto,0.00_2,LogReg,0.6224521612775069
sider,spectra_tanimoto,0.00_2,RF,0.6669903669553585
sider,spectra_tanimoto,0.00_2,XGB,0.6378818909919087
sider,spectra_tanimoto,0.00_2,SVM,0.641208545370394
sider,spectra_tanimoto,0.05_0,LogReg,0.6309513671405814
sider,spectra_tanimoto,0.05_0,RF,0.634562668596847
sider,spectra_tanimoto,0.05_0,XGB,0.6252412662782167
sider,spectra_tanimoto,0.05_0,SVM,0.6280664514405951
sider,spectra_tanimoto,0.05_1,LogReg,0.6065929335863546
sider,spectra_tanimoto,0.05_1,RF,0.6251938649767297
sider,spectra_tanimoto,0.05_1,XGB,0.6159556904882085
sider,spectra_tanimoto,0.05_1,SVM,0.6285070934574217
sider,spectra_tanimoto,0.05_2,LogReg,0.5964752916661993
sider,spectra_tanimoto,0.05_2,RF,0.6235776370450687
sider,spectra_tanimoto,0.05_2,XGB,0.6059947668014021
sider,spectra_tanimoto,0.05_2,SVM,0.6240572253821104
sider,spectra_tanimoto,0.10_0,LogReg,0.5667071879612928
sider,spectra_tanimoto,0.10_0,RF,0.5792970301103132
sider,spectra_tanimoto,0.10_0,XGB,0.5805888370097461
sider,spectra_tanimoto,0.10_0,SVM,0.562302236297762
sider,spectra_tanimoto,0.10_1,LogReg,
sider,spectra_tanimoto,0.10_1,RF,
sider,spectra_tanimoto,0.10_1,XGB,
sider,spectra_tanimoto,0.10_1,SVM,
sider,spectra_tanimoto,0.10_2,LogReg,0.6038299530324316
sider,spectra_tanimoto,0.10_2,RF,0.6097558259864606
sider,spectra_tanimoto,0.10_2,XGB,0.6233006217016016
sider,spectra_tanimoto,0.10_2,SVM,0.596702477928108
sider,spectra_tanimoto,0.15_0,LogReg,0.6363415075267257
sider,spectra_tanimoto,0.15_0,RF,0.6297495113775111
sider,spectra_tanimoto,0.15_0,XGB,0.6112511583394823
sider,spectra_tanimoto,0.15_0,SVM,0.5994494801306893
sider,spectra_tanimoto,0.15_1,LogReg,
sider,spectra_tanimoto,0.15_1,RF,
sider,spectra_tanimoto,0.15_1,XGB,
sider,spectra_tanimoto,0.15_1,SVM,
sider,spectra_tanimoto,0.15_2,LogReg,0.6161581948541576
sider,spectra_tanimoto,0.15_2,RF,0.6015977262916804
sider,spectra_tanimoto,0.15_2,XGB,0.6153429516945053
sider,spectra_tanimoto,0.15_2,SVM,0.6005432878076316
sider,spectra_tanimoto,0.20_0,LogReg,0.5861900392746082
sider,spectra_tanimoto,0.20_0,RF,0.587205423362014
sider,spectra_tanimoto,0.20_0,XGB,0.5791276744097625
sider,spectra_tanimoto,0.20_0,SVM,0.5812186754826908
sider,spectra_tanimoto,0.20_1,LogReg,
sider,spectra_tanimoto,0.20_1,RF,
sider,spectra_tanimoto,0.20_1,XGB,
sider,spectra_tanimoto,0.20_1,SVM,
sider,spectra_tanimoto,0.20_2,LogReg,
sider,spectra_tanimoto,0.20_2,RF,
sider,spectra_tanimoto,0.20_2,XGB,
sider,spectra_tanimoto,0.20_2,SVM,
sider,spectra_tanimoto,0.25_0,LogReg,0.587658822881841
sider,spectra_tanimoto,0.25_0,RF,0.5954825925624478
sider,spectra_tanimoto,0.25_0,XGB,0.5821854602710975
sider,spectra_tanimoto,0.25_0,SVM,0.5644676924397093
sider,spectra_tanimoto,0.25_1,LogReg,
sider,spectra_tanimoto,0.25_1,RF,
sider,spectra_tanimoto,0.25_1,XGB,
sider,spectra_tanimoto,0.25_1,SVM,
sider,spectra_tanimoto,0.25_2,LogReg,
sider,spectra_tanimoto,0.25_2,RF,
sider,spectra_tanimoto,0.25_2,XGB,
