dataset,split_type,split_num,model,roc_auc
tox21,spectra_tanimoto,0.00_0,LogReg,0.7675038193939901
tox21,spectra_tanimoto,0.00_0,RF,0.8167155681109395
tox21,spectra_tanimoto,0.00_0,XGB,0.7862262170501276
tox21,spectra_tanimoto,0.00_0,SVM,0.7981957084876301
tox21,spectra_tanimoto,0.00_1,LogReg,0.7886775319642609
tox21,spectra_tanimoto,0.00_1,RF,0.8268649829716107
tox21,spectra_tanimoto,0.00_1,XGB,0.7988214007776958
tox21,spectra_tanimoto,0.00_1,SVM,0.8238366676277632
tox21,spectra_tanimoto,0.00_2,LogReg,0.7935653926863239
tox21,spectra_tanimoto,0.00_2,RF,0.8259596282385483
tox21,spectra_tanimoto,0.00_2,XGB,0.7955429334861281
tox21,spectra_tanimoto,0.00_2,SVM,0.8267510981623015
tox21,spectra_tanimoto,0.05_0,LogReg,0.686348470922213
tox21,spectra_tanimoto,0.05_0,RF,0.6995928430845909
tox21,spectra_tanimoto,0.05_0,XGB,0.6880464436147108
tox21,spectra_tanimoto,0.05_0,SVM,0.7261476795781724
tox21,spectra_tanimoto,0.05_1,LogReg,0.7441045897821992
tox21,spectra_tanimoto,0.05_1,RF,0.7740848914535002
tox21,spectra_tanimoto,0.05_1,XGB,0.7603592140979267
tox21,spectra_tanimoto,0.05_1,SVM,0.7868660738760133
tox21,spectra_tanimoto,0.05_2,LogReg,0.7588628762422207
tox21,spectra_tanimoto,0.05_2,RF,0.7610238405319429
tox21,spectra_tanimoto,0.05_2,XGB,0.7542249481225576
tox21,spectra_tanimoto,0.05_2,SVM,0.7847742465593842
tox21,spectra_tanimoto,0.10_0,LogReg,0.675006824359388
tox21,spectra_tanimoto,0.10_0,RF,0.6639719884373133
tox21,spectra_tanimoto,0.10_0,XGB,0.6220869480008026
tox21,spectra_tanimoto,0.10_0,SVM,0.6818715032328152
tox21,spectra_tanimoto,0.10_1,LogReg,0.752416080130403
tox21,spectra_tanimoto,0.10_1,RF,0.7498113930201894
tox21,spectra_tanimoto,0.10_1,XGB,0.704487378612953
tox21,spectra_tanimoto,0.10_1,SVM,0.772269818292335
tox21,spectra_tanimoto,0.10_2,LogReg,0.6714040742481386
tox21,spectra_tanimoto,0.10_2,RF,0.6773963518394573
tox21,spectra_tanimoto,0.10_2,XGB,0.6716276458836861
tox21,spectra_tanimoto,0.10_2,SVM,0.6987935490857295
tox21,spectra_tanimoto,0.15_0,LogReg,
tox21,spectra_tanimoto,0.15_0,RF,
tox21,spectra_tanimoto,0.15_0,XGB,
tox21,spectra_tanimoto,0.15_0,SVM,
tox21,spectra_tanimoto,0.15_1,LogReg,0.729531761291388
tox21,spectra_tanimoto,0.15_1,RF,0.698908011565763
tox21,spectra_tanimoto,0.15_1,XGB,0.6304141025994968
tox21,spectra_tanimoto,0.15_1,SVM,0.7395856281462034
tox21,spectra_tanimoto,0.15_2,LogReg,0.6030148156602557
tox21,spectra_tanimoto,0.15_2,RF,0.6009435890849665
tox21,spectra_tanimoto,0.15_2,XGB,0.6099964316756527
tox21,spectra_tanimoto,0.15_2,SVM,0.6671399326603846
tox21,spectra_tanimoto,0.20_0,LogReg,0.6897906195409723
tox21,spectra_tanimoto,0.20_0,RF,0.6597410495842185
tox21,spectra_tanimoto,0.20_0,XGB,0.6360374917233731
tox21,spectra_tanimoto,0.20_0,SVM,0.6617752494674273
tox21,spectra_tanimoto,0.20_1,LogReg,0.559459394375552
tox21,spectra_tanimoto,0.20_1,RF,0.5566382013786867
