dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
bace,scaffold,0,LogReg,0.8431756756756758,
bace,scaffold,0,RF,0.8643018018018018,
bace,scaffold,0,XGB,0.8647072072072072,
bace,scaffold,0,SVM,0.8841666666666667,
bace,scaffold,1,LogReg,0.8838102808691044,
bace,scaffold,1,RF,0.894453276806218,
bace,scaffold,1,XGB,0.9044780074191838,
bace,scaffold,1,SVM,0.9024907260201378,
bace,scaffold,2,LogReg,0.8091841841841843,
bace,scaffold,2,RF,0.8760010010010009,
bace,scaffold,2,XGB,0.8395145145145146,
bace,scaffold,2,SVM,0.8741491491491492,
bace,scaffold,3,LogReg,0.8873403284671533,
bace,scaffold,3,RF,0.892404197080292,
bace,scaffold,3,XGB,0.8929516423357664,
bace,scaffold,3,SVM,0.8938640510948905,
bace,scaffold,4,LogReg,0.8511337868480726,
bace,scaffold,4,RF,0.8639002267573695,
bace,scaffold,4,XGB,0.873469387755102,
bace,scaffold,4,SVM,0.886984126984127,
bbbp,scaffold,0,LogReg,0.834963905775076,
bbbp,scaffold,0,RF,0.8821950987841944,
bbbp,scaffold,0,XGB,0.8362936930091185,
bbbp,scaffold,0,SVM,0.8785619300911854,
bbbp,scaffold,1,LogReg,0.8541941771992707,
bbbp,scaffold,1,RF,0.8490379173740804,
bbbp,scaffold,1,XGB,0.8592561151983902,
bbbp,scaffold,1,SVM,0.873718795195875,
bbbp,scaffold,2,LogReg,0.9210768522779568,
bbbp,scaffold,2,RF,0.9348662152389717,
bbbp,scaffold,2,XGB,0.9075504569061863,
bbbp,scaffold,2,SVM,0.936493327197423,
bbbp,scaffold,3,LogReg,0.8476946585171405,
bbbp,scaffold,3,RF,0.9000631145362743,
bbbp,scaffold,3,XGB,0.8677916555939411,
bbbp,scaffold,3,SVM,0.8933032155195323,
bbbp,scaffold,4,LogReg,0.892977631096443,
bbbp,scaffold,4,RF,0.8764576457645765,
bbbp,scaffold,4,XGB,0.8409607627429411,
bbbp,scaffold,4,SVM,0.878034470113678,
delaney,scaffold,0,KRR,,1.8809616531713063
delaney,scaffold,0,LinReg,,2.160410274243701
delaney,scaffold,1,KRR,,1.7776449142243507
delaney,scaffold,1,LinReg,,2.0531733901408806
delaney,scaffold,2,KRR,,1.8087383193351771
delaney,scaffold,2,LinReg,,2.103145634443453
delaney,scaffold,3,KRR,,2.091001275594441
delaney,scaffold,3,LinReg,,2.372591968995623
delaney,scaffold,4,KRR,,2.5545941119285516
delaney,scaffold,4,LinReg,,2.8958800351558365
freesolv,scaffold,0,KRR,,5.106495130104669
freesolv,scaffold,0,LinReg,,5.398929026994488
freesolv,scaffold,1,KRR,,5.119562193097595
freesolv,scaffold,1,LinReg,,5.38297499087671
freesolv,scaffold,2,KRR,,3.861373438379664
freesolv,scaffold,2,LinReg,,4.196414969606095
freesolv,scaffold,3,KRR,,4.135777393268024
freesolv,scaffold,3,LinReg,,4.432502151963436
freesolv,scaffold,4,KRR,,4.77571969129597
freesolv,scaffold,4,LinReg,,5.03843502055785
lipo,scaffold,0,KRR,,1.0925894453448777
lipo,scaffold,0,LinReg,,1.242891220643588
lipo,scaffold,1,KRR,,1.1149546935479882
lipo,scaffold,1,LinReg,,1.2905241438542052
lipo,scaffold,2,KRR,,1.084915135320442
lipo,scaffold,2,LinReg,,1.2538402954102879
lipo,scaffold,3,KRR,,1.0011890649301924
lipo,scaffold,3,LinReg,,1.14047503430213
lipo,scaffold,4,KRR,,1.0164997223566783
lipo,scaffold,4,LinReg,,1.1745341300580028
clintox,scaffold,0,LogReg,0.7807868879489837,
clintox,scaffold,0,RF,0.8308152803817282,
clintox,scaffold,0,XGB,0.7835646009309584,
clintox,scaffold,0,SVM,0.8192451191992498,
clintox,scaffold,1,LogReg,0.8856306245195135,
clintox,scaffold,1,RF,0.8043181612626057,
clintox,scaffold,1,XGB,0.7450628589517478,
clintox,scaffold,1,SVM,0.8714913173246508,
clintox,scaffold,2,LogReg,0.8398711169861203,
clintox,scaffold,2,RF,0.798180353602115,
clintox,scaffold,2,XGB,0.7517067360652127,
clintox,scaffold,2,SVM,0.8747962106190791,
clintox,scaffold,3,LogReg,0.7546648742063273,
clintox,scaffold,3,RF,0.7094077380405699,
clintox,scaffold,3,XGB,0.7487881280499379,
clintox,scaffold,3,SVM,0.8076703066928723,
clintox,scaffold,4,LogReg,0.7909029347424363,
clintox,scaffold,4,RF,0.8014311428882468,
clintox,scaffold,4,XGB,0.8244636822139384,
clintox,scaffold,4,SVM,0.8627418670210276,
sider,scaffold,0,LogReg,0.5666943097839885,
sider,scaffold,0,RF,0.5950958354414083,
sider,scaffold,0,XGB,0.5781119961359615,
sider,scaffold,0,SVM,0.5910245776979965,
sider,scaffold,1,LogReg,0.5809553079829165,
sider,scaffold,1,RF,0.6293990452607607,
sider,scaffold,1,XGB,0.6153300842599883,
sider,scaffold,1,SVM,0.6114911298953347,
sider,scaffold,2,LogReg,0.5974044219095732,
sider,scaffold,2,RF,0.6369236756770179,
sider,scaffold,2,XGB,0.607663306946842,
sider,scaffold,2,SVM,0.6154689745865719,
sider,scaffold,3,LogReg,0.6001782139478086,
sider,scaffold,3,RF,0.6149898204828316,
sider,scaffold,3,XGB,0.589415275375748,
sider,scaffold,3,SVM,0.6185112903444223,
sider,scaffold,4,LogReg,0.6135104077313001,
sider,scaffold,4,RF,0.6454058631864712,
sider,scaffold,4,XGB,0.6327313386628094,
sider,scaffold,4,SVM,0.6417820887085885,
tox21,scaffold,0,LogReg,0.7097355237442687,
tox21,scaffold,0,RF,0.7558587177993771,
tox21,scaffold,0,XGB,0.7304954323083587,
tox21,scaffold,0,SVM,0.7620225568658298,
tox21,scaffold,1,LogReg,0.7406768262732425,
tox21,scaffold,1,RF,0.7466917237937093,
tox21,scaffold,1,XGB,0.7397757593221191,
tox21,scaffold,1,SVM,0.7585874098129222,
tox21,scaffold,2,LogReg,0.7359276646386466,
tox21,scaffold,2,RF,0.7590033309489855,
tox21,scaffold,2,XGB,0.7443165030945752,
tox21,scaffold,2,SVM,0.7766466407953208,
tox21,scaffold,3,LogReg,0.751867463523773,
tox21,scaffold,3,RF,0.775727318981294,
tox21,scaffold,3,XGB,0.763045644173168,
tox21,scaffold,3,SVM,0.7836428728971452,
tox21,scaffold,4,LogReg,0.7413124832362467,
tox21,scaffold,4,RF,0.7600024935075785,
tox21,scaffold,4,XGB,0.7559841025170244,
tox21,scaffold,4,SVM,0.7699479873116034,
